"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,29.2423865258306,164.447946580415,96.6992005609882,44.392391494209,92.6577316962281,1231.28329803733,1006,856.166073653114,1132.5,954,1018,919,68.5020548016479
"2002/2003",2003,120,120,100,36.2716464578029,190.953815173567,92.6801157321631,54.9316457661332,100.162740316208,1286.88866730288,1053.5,903.055561566566,1180,995,1071,991,72.4622651594935
"2003/2004",2004,120,120,100,38.729495709669,233.643074823715,77.7892986927575,54.8964736421871,97.3537733307962,1429.0883391618,1165.5,986.224619625,1301,1104,1159,1064,73.6913565961919
"2004/2005",2005,121,121,100,40.8101100848533,221.431898590578,81.1843714251228,54.5900450174632,95.5086745228792,1433.98269721651,1175.5,1041.72953780164,1307,1165,1125,1103.5,70.1490736256062
"2005/2006",2006,120,120,100,40.0911096400247,219.992081915984,92.2174430508687,49.9874230400262,94.0897137896048,1418.42196490599,1194.5,1037.49045229558,1307.5,1155.5,1173,1128.5,68.2392840725201
"2006/2007",2007,120,120,100,48.2390776202648,265.588275439088,76.8155449403553,59.6375452126047,95.0422933878607,1580.37202109704,1288,1140.71860093987,1436.5,1270.5,1298,1217,71.1177300599772
"2007/2008",2008,120,120,100,31.2580485923144,179.822189496199,93.1052819677024,47.2311326121144,97.1648639453609,1197.93898673253,941.5,864.328399649952,1081,916.5,951,909,70.8014472787386
"2008/2009",2009,121,121,100,37.5315400864411,225.380568175326,77.2475593791687,46.8912339351924,89.6381493088082,1373.70939950132,1139.5,1005.99635328416,1174,1174,1044,1058.5,66.4693082939277
"2009/2010",2010,120,120,100,25.7633704865965,149.878914607858,95.4341053434976,42.6937199845366,93.72097692153,1074.98555413422,742,611.879850969642,866,750,879,652,63.6967361779718
"2010/2011",2011,120,120,100,40.4719853604678,220.683159857465,93.6666950110681,53.1139623780483,94.0501261778282,1396.8089994852,1166.5,1013.35281861317,1315.5,1106,1185,1095.5,71.5715519043174
"2011/2012",2012,120,120,100,25.9744592641713,174.448021816168,98.9907525889441,40.5203662279387,93.9699399765514,1099.29870733653,859.5,715.664092057426,982,811,900,781.5,66.0032598216958
"2012/2013",2013,121,121,100,37.8126903993395,206.032157539886,87.8229679754469,49.991880688812,92.9693534712323,1346.5102885606,1061.5,888.216474352537,1166,1046.5,1099,955,68.7778350368847
"2013/2014",2014,120,120,100,41.1197924919568,214.231645534596,90.1607551692496,58.179132641064,98.7076666379543,1365.95710543743,1117.5,990.913288094926,1259,1073,1113,1069,73.6973441691846
"2014/2015",2015,120,120,100,34.8634873118997,209.556069322099,86.0317557832965,51.4616895310002,95.8407031744217,1290.41464577764,1066.5,931.270162448496,1195,1009,1022,989.5,74.1971787134883
"2015/2016",2016,120,120,100,37.4681845897917,201.614588349365,91.0992426325854,54.8833006182429,99.6575496571309,1359.85449871965,1075.5,933.397876742478,1243,1034,1175,1025.5,73.2143367651699
