"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.0475901436115,153.805709257381,99.8142267822595,39.5078332491076,90.2135789522392,1140.46123256446,906,762.029179858081,1025,866.5,935,818.5,65.1135472361759
"2002/2003",2003,120,120,100,36.6293744588157,195.130271181769,94.4809864441923,51.8544070911579,98.3978534471896,1229.76815165853,968,842.001869479604,1128,920.5,1065,912.5,70.8264550371969
"2003/2004",2004,120,120,100,34.302523780767,234.451381931763,79.7294141432482,49.5074979653995,95.9306995187139,1319.78046964481,1040.5,877.757594136628,1204,993.5,1092,942.5,70.5277736945556
"2004/2005",2005,121,121,100,37.1718574571325,208.87314380696,83.5656290141067,51.5251158466096,94.2408819008625,1320.05279040898,1084,940.928264582644,1168,1063,1041,986.5,68.7815527124169
"2005/2006",2006,120,120,100,33.0039951001875,196.59092007756,95.2997783717898,43.7727899775068,91.6299688006731,1304.48960774474,1077,942.940212260167,1180,1050,1086,1007.5,66.2514737639993
"2006/2007",2007,120,120,100,43.4052794644464,243.585136177686,78.6222333423742,55.2867106229084,94.272914590129,1460.41335159576,1184,1052.7731481886,1285.5,1173.5,1148,1113,70.3290486695465
"2007/2008",2008,120,120,100,24.0627030811593,156.959007208351,95.7642314528878,38.3191110080483,93.7443231492187,1082.06096901881,865.5,795.520036547388,982,838,817,827.5,67.1168946184396
"2008/2009",2009,121,121,100,36.1086702284862,220.360860812778,79.7073446685089,45.0795939274729,87.922195597445,1291.83138623152,1028,882.81631861829,1047,1088.5,971,945,63.8705980330362
"2009/2010",2010,120,120,100,20.3290881741515,133.631489613324,98.530794257926,36.8889234495208,90.467582137681,959.511103511148,628.5,504.792427769011,713,658.5,778,533.5,60.1977552536214
"2010/2011",2011,120,120,100,32.8987317718411,204.369906311027,96.8760469684344,45.4109455686378,91.4848893644096,1294.69998675751,1094,927.62302942188,1204.5,1014,1076,998,68.4312454414348
"2011/2012",2012,120,120,100,22.4419950428569,158.39051413657,102.137953473438,36.5743851747421,90.9143404841681,1017.77981231933,792.5,665.618233722218,894,759,811,714,62.4680834001049
"2012/2013",2013,121,121,100,32.5121856797827,192.777078176475,89.9122556555899,46.9903353351203,91.6764810347452,1260.90988922202,950.5,791.105952137295,1059,958,1032,849.5,69.3895539821967
"2013/2014",2014,120,120,100,41.1946726666898,217.179392207526,92.3242923258393,56.0304936311202,96.7590741943854,1343.45582515835,1112,979.740325687699,1240,1066,1104,1063,72.3928264623673
"2014/2015",2015,120,120,100,31.59388173641,186.827029814331,87.8763302878903,48.2173700624547,94.2046042583051,1169.09632574565,944,799.111542616927,1068.5,907.5,929,861,68.5038348095059
"2015/2016",2016,120,120,100,35.25496948018,192.999598157459,93.1101619255516,52.7381660182212,98.2771062538791,1269.73246571277,991.5,857.712135262831,1149,939,1075,924,71.4368110364003
"2016/2017",2017,121,121,100,33.8276217532893,189.451836024412,81.5939744242001,50.8842224195268,96.5096110685777,1345.95832038419,1096.5,958.672486352989,1198,1094,1084,1022,70.4073688774952
"2017/2018",2018,120,120,100,30.4097607203302,183.226932258364,95.3345888138465,43.6472787913798,93.558664239112,1138.91458812216,908.5,783.238914306279,1039,859,934,828,66.8823792181631
"2018/2019",2019,120,120,100,25.5856368768426,149.545456457421,100.723239607734,38.8463545581928,92.8461062473655,967.135671138822,741.5,651.276264622065,875.5,720,797,689.5,61.5860972446628
"2019/2020",2020,120,120,100,33.1351735488034,190.074095049813,87.0937822352466,49.4719367911408,94.9626886715766,1343.25904276681,1075,925.726871870473,1184,1056,1090,1003,69.267503318752
"2020/2021",2021,121,121,100,35.2453589817663,203.675438500744,90.8751717244941,46.093725909465,92.3394757128474,1345.98586567435,1127,979.455211317611,1214,1115.5,1088,1063.5,69.8659248403819
"2021/2022",2022,120,120,100,17.5339946479708,129.514660422605,93.4521583430107,31.4652542356595,87.5633537553433,981.564599951838,708,603.301451934993,759,758.5,728,635.5,61.0956861240406
"2022/2023",2023,120,120,100,29.4246750984453,180.097972260868,104.825795701128,45.5597966793554,91.0736376842951,1160.32694078492,921.5,791.889018009097,1049.5,879,976,850,64.2893423096184
"2023/2024",2024,120,120,100,33.8654841459762,205.870562667056,83.5881550005824,47.7784329366802,95.6968380521024,1415.55154067572,1173,1036.68224871272,1313.5,1150,1135,1125.5,75.1768606038127
"2024/2025",2025,121,121,100,35.013186478426,189.280137338013,99.1775525973778,52.4724507674433,98.6272438546477,1226.26792582694,938,810.649607174837,1131.5,878,1025,877.5,69.1380787004578
"2025/2026",2026,120,120,100,27.7916629937164,176.081455767489,97.7267196700977,46.1555273923052,95.0400929058439,1114.85409365722,848.5,726.322340344686,992,802,897,763.5,65.3780658871706
"2026/2027",2027,120,120,100,45.0366651184941,284.486863893672,76.4999863714895,58.8546301968946,95.3716074693027,1512.90207445351,1266,1076.23216265821,1401,1205,1268,1159,75.800512105694
"2027/2028",2028,120,120,100,25.8748540438999,145.545454776704,111.362490747962,39.4686858357656,91.8695425770229,952.505218217681,720,648.555963719948,855.5,686.5,777,682,55.1933044708035
"2028/2029",2029,121,121,100,27.6190964431355,182.003264517589,78.1986989216516,46.2447811342797,95.1087310214098,1241.72953102559,928.5,809.841755366702,1015.5,975.5,945,857.5,68.9322384188945
"2029/2030",2030,120,120,100,32.5751040727707,188.101933811836,93.6077934293389,45.4159145278419,95.329519972122,1182.64715366995,915,793.336175000513,1049,889.5,993,859.5,68.2879165453774
"2030/2031",2031,120,120,100,36.6525848727762,216.75992064288,82.7655106148991,50.8422130514691,93.2768435896932,1453.69332768781,1226.5,1096.81889691557,1318,1202,1136,1160,70.738673795805
"2031/2032",2032,120,120,100,42.7403636696558,243.463199493611,77.3229876860438,53.9453437101242,93.8396022012577,1510.26097296033,1285.5,1130.03280829691,1381,1269.5,1203,1219,74.7297012684439
"2032/2033",2033,121,121,100,28.8921209646452,173.669622515774,103.146145223285,39.4523123307589,90.1175131249402,1042.19224769632,842,739.639150854448,950,811,800,785,63.5859542343387
"2033/2034",2034,120,120,100,24.0162069586939,166.157817366324,88.0179879532513,37.9189616390448,87.9469853703798,1131.97987403767,850.5,703.910863065154,898.5,912.5,892,770.5,58.3167303854198
"2034/2035",2035,120,120,100,20.8691328218555,157.560626497394,101.141054845987,35.1746545829523,89.2558464461867,995.50682457471,762.5,654.410656757827,846.5,767,782,705.5,61.6788110277816
"2035/2036",2036,120,120,100,32.016898661997,194.779376139943,96.5323138428654,48.5059417275702,95.196389861771,1214.43660166633,999.5,873.521650336654,1107.5,946,983,936.5,69.2304204992238
"2036/2037",2037,121,121,100,35.5152397997611,187.364840109418,94.1042908451946,54.7851667758333,97.0651800231892,1303.85309131246,1048,917.372045535521,1174,1025,1050,995,72.5174156052999
"2037/2038",2038,120,120,100,28.0509261141786,181.665508672786,97.6706747796099,41.7409047902117,89.953153935684,1117.00648287874,906.5,799.601961697081,993.5,882.5,865,842,66.2790001279245
"2038/2039",2039,120,120,100,31.0643870352667,192.78088174192,92.8439663150962,51.4710579442728,98.6353033197841,1254.28545726466,976,810.807992820017,1159.5,899.5,1069,888.5,70.8025882967731
"2039/2040",2040,120,120,100,28.67221229618,160.909922347469,95.1530160011499,40.6969593679705,91.4870358367698,1150.18407113482,884.5,768.69519975358,990.5,890.5,903,825,63.5445168699889
"2040/2041",2041,121,121,100,33.7634890021895,205.985620408055,93.0179435426708,50.8464860863762,97.8094817725448,1326.54947223188,1084,943.535112851234,1228,1043.5,1089,1036.5,72.8818487066783
"2041/2042",2042,120,120,100,20.2422106010866,128.066982578922,114.998240678502,31.5168288335413,88.1186417613165,840.832923854483,616,514.349353415593,748,602.5,660,563.5,54.2918743675282
"2042/2043",2043,120,120,100,24.5013731655832,126.657416761146,110.970608650666,36.2629504475286,86.4280995445089,1044.49959356581,822.5,694.03166736292,924,809.5,882,741,55.0844605097727
"2043/2044",2044,120,120,100,33.7901768500638,219.695739907599,84.7564220514476,50.6392814740939,95.1359525093696,1312.93506905448,1036,875.854089630782,1176,999,1072,946,68.5220002660817
"2044/2045",2045,121,121,100,21.4279018051821,140.828555704926,98.3789899964678,33.9925163129353,92.2985057328402,984.005616804861,751.5,611.355584778044,854.5,733.5,810,670,59.6830893173619
"2045/2046",2046,120,120,100,29.4662285828814,187.020256250675,80.817250700715,45.7614580150192,90.8346094621342,1246.40215060533,982.5,823.944712785953,1007.5,1007.5,995,873,65.3261102836295
"2046/2047",2047,120,120,100,23.7392303999393,163.177348677525,101.767614607472,35.9796973032179,89.8100842479345,1056.8416830787,834.5,769.347398234218,948.5,837,770,807,66.3975342793246
"2047/2048",2048,120,120,100,24.9447023207051,172.09224690684,103.428082442906,37.6627638225304,90.0262232181606,1119.4506539174,906,803.959572858366,1019.5,865,898,849.5,66.087351032661
"2048/2049",2049,121,121,100,26.4618702080698,186.927061930328,89.868313393768,41.261945739922,93.0355815013161,1200.07311676133,965,849.085886244873,1052.5,961,937,904.5,66.6480944942396
"2049/2050",2050,120,120,100,27.4014370283496,196.087636478488,85.0854665408567,43.7377858816952,96.5274449805754,1279.17715237669,1041.5,883.713713484292,1162,983,1057,955.5,70.5081559294977
"2050/2051",2051,120,120,100,25.5944312710914,197.755306582145,82.8660674292854,40.0354465287671,92.4197906103345,1192.58629361002,954,850.766838002193,1044,961,893,896.5,68.8187630348784
"2051/2052",2052,120,120,100,33.4083142552357,192.667994034546,88.2605575804466,51.789415670273,97.548118352282,1312.72924537535,1064.5,935.008459512326,1200,1024.5,1055,1006.5,72.026582343713
"2052/2053",2053,121,121,100,31.2069962658758,169.012752672053,100.32841771548,42.9118050387185,96.6220433243427,1143.26361222295,885,755.665836214481,1053,832.5,965,827,63.9123039094575
"2053/2054",2054,120,120,100,29.831679505423,165.851802793345,100.4431489052,41.5337538807961,93.398715941058,1070.80696373644,861,760.275215127127,954.5,831,842,807,65.9920242827666
"2054/2055",2055,120,120,100,27.4994076971956,167.1029022604,99.02254667756,45.9376809428215,96.0581175775532,1234.27935629355,951.5,809.435324414386,1100,917.5,1033,891,68.6904775362082
"2055/2056",2056,120,120,100,23.5389252410879,155.594373202973,92.8142529690354,40.4692362898816,93.3870138956561,1141.466939108,865.5,716.215671155791,978,855,921,785,67.8273811936979
"2056/2057",2057,121,121,100,31.5424079607013,174.7240182623,104.347565916026,46.3198717722256,94.1685860683138,1170.52082789072,942.5,826.750352038391,1068,892.5,961,891,65.6365030095503
