"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.2210765316204,178.418100358513,87.466321711288,48.3718238957792,90.5500272661883,1395.95296975669,1168.5,1026.28369670335,1266.5,1145,1140,1082,70.7646383601612
"2002/2003",2003,120,120,100,42.8568191623437,221.82795066761,83.0336145506981,58.3800894673097,98.9862156266192,1484.79187699271,1236,1091.49949857389,1368,1198,1173,1180.5,74.2143502336861
"2003/2004",2004,120,120,100,36.4050805126333,247.342757478272,69.9665057561475,49.5702195038735,93.1418103244828,1571.06644232008,1313,1121.29244818065,1406.5,1294,1270,1211.5,74.378697149991
"2004/2005",2005,121,121,100,37.6153363524861,219.668265331296,73.420385278535,49.3241241394532,91.2682281899277,1494.42811337956,1272.5,1115.7638872259,1347,1267,1161,1176.5,70.5759261571617
"2005/2006",2006,120,120,100,31.6739119316614,190.785227717495,83.9049512093522,40.5454788973447,89.4489965702102,1489.36834111748,1295.5,1210.44352861791,1357.5,1308,1139,1252,72.2497407491401
"2006/2007",2007,120,120,100,38.9775616404501,237.706732461692,68.9502539892006,50.2933400472916,90.666058417616,1627.37256287142,1401,1253.26040588254,1455,1385.5,1266,1303.5,74.9434139549089
"2007/2008",2008,120,120,100,29.8904281697378,197.16599851628,84.6979333260481,44.9739816149763,93.9516113633004,1304.72151888103,1083,1000.77206204359,1194.5,1054.5,964,1038,72.945644804294
"2008/2009",2009,121,121,100,27.9386708784628,199.35400014846,70.6669591525443,34.7518565252513,83.0739894518534,1334.72687211219,1131.5,974.104808145539,1066.5,1209,987,1022,63.9044207164535
"2009/2010",2010,120,120,100,33.2834083347186,176.744905267069,86.5300471056469,45.6642245616255,90.5245697596983,1313.494667436,1015,841.3770934689,1068.5,1069,1079,937.5,66.2652508776181
"2010/2011",2011,120,120,100,32.0909385168551,199.16263504584,85.5807497697331,41.7080393567406,89.0553201104485,1420.79834093368,1249.5,1154.70862924506,1299.5,1242,1066,1210.5,69.9823367515842
"2011/2012",2012,120,120,100,31.8763664410722,185.586746165115,90.2110868836423,44.4982239028416,91.5956913895439,1310.57987345355,1064,914.979479392017,1163.5,1054,1042,989.5,65.9858819314338
"2012/2013",2013,121,121,100,37.305876130672,201.762636357667,78.8549468446911,45.9733587864157,88.9951486557418,1443.33548089992,1214,1042.1443517309,1210,1243,1156,1110,68.5876816644461
"2013/2014",2014,120,120,100,44.6413189395524,232.371483261773,81.5008509877111,55.149090858321,94.9291916760683,1547.09100216927,1309.5,1222.80434800981,1426.5,1284,1194,1276.5,76.5867824047264
"2014/2015",2015,120,120,100,36.9201393877079,226.517337876255,77.297941033624,51.6252417040958,92.8485806331196,1433.5677302,1209,1050.8304581222,1303,1186.5,1128,1126.5,73.6401819260784
"2015/2016",2016,120,120,100,43.2074081180706,224.083848022031,81.8398876169045,57.0497327454298,97.6823124958486,1559.96968741454,1315,1178.9993472315,1439.5,1284.5,1251,1264,75.8787171341849
"2016/2017",2017,121,121,100,41.1886469983431,210.230266738902,71.4608201386348,53.2460542056502,93.4611874892262,1551.87338178638,1337,1222.66437219864,1377,1359,1128,1268,76.4105538487349
"2017/2018",2018,120,120,100,38.1960982225861,212.546710595331,84.0915988729026,49.4109362100027,92.9812354207351,1413.80608729422,1189.5,1025.91151288301,1295,1158.5,1135,1107,72.028224509784
"2018/2019",2019,120,120,100,34.5925401914112,196.659206971107,88.4042091918543,50.702265498787,96.1453927968253,1279.65236701981,1020.5,885.135120795003,1158,977,1028,942.5,68.829129075006
"2019/2020",2020,120,120,100,35.1488811970001,202.338341116339,77.1024788972459,47.0869226670246,91.3775233392679,1522.25535696994,1310.5,1179.36817976106,1359.5,1291.5,1143,1227,73.0445576563584
"2020/2021",2021,121,121,100,35.3175714189656,195.971446353522,79.4330941576814,44.7989884113537,91.4671618644568,1479.71232508009,1264,1136.57103442682,1307.5,1265,1125,1196,72.4180271032583
"2021/2022",2022,120,120,100,29.8529958354958,158.767931989081,82.0740425618545,41.6592766319676,87.7676749040241,1216.16872702951,923,795.653111739375,951.5,998,901,844.5,65.6771338829944
"2022/2023",2023,120,120,100,34.3909768460493,192.278296864853,92.6489358767889,46.436747346877,90.2905077719977,1340.74306780891,1131,1007.74535938946,1223.5,1111.5,1070,1068,69.6510236801519
"2023/2024",2024,120,120,100,35.5447472444224,202.093426478075,73.4514592447231,49.301600902413,93.4432340062064,1584.97549785666,1395,1261.21047964262,1470,1365.5,1221,1314,77.2134992337601
"2024/2025",2025,121,121,100,44.5318411512588,219.878213263496,87.9936692629013,57.38417236883,97.0239469537511,1553.37316540115,1281.5,1125.3513350723,1454,1223.5,1306,1217.5,76.3242786372643
"2025/2026",2026,120,120,100,39.1480495556206,218.241919481746,85.3954660457664,54.9676649591307,95.3297471796902,1440.29991483066,1187.5,1042.12261784068,1308.5,1159.5,1175,1115,72.9130603747708
"2026/2027",2027,120,120,100,40.7589998656888,267.1023547882,68.3794807133618,49.0915338255918,89.1154302070069,1605.51605432381,1394.5,1234.50251081311,1425,1417,1243,1309.5,75.3635352062533
"2027/2028",2028,120,120,100,34.0329333282177,182.366956318341,98.5452053393441,47.1491518851727,94.2926427904791,1243.71084301201,989,889.424641426816,1136,948.5,1007,937.5,63.8125492485456
"2028/2029",2029,121,121,100,39.1838306352285,219.205944421534,68.3038220809752,53.3445370361348,92.4406810445984,1481.85750469545,1143,1007.25715424468,1250.5,1189,1100,1034.5,74.4962359702986
"2029/2030",2030,120,120,100,35.0743275588541,209.245235073465,82.2061943031226,49.1277521574181,95.7835770944202,1440.51789676028,1163,1050.300627013,1291.5,1161,1142,1121,74.1288521172246
"2030/2031",2031,120,120,100,35.0056749685951,203.630140654992,73.0976011003504,46.2115623937518,88.3607730363023,1526.60837414311,1332,1213.44940186748,1371.5,1337.5,1107,1257.5,73.5438855327379
"2031/2032",2032,120,120,100,34.1578776675849,222.31187214696,68.3157145612255,43.7212289034958,88.7676670671087,1574.93591200712,1428,1308.00143816391,1419.5,1417,1145,1348,76.8739486625318
"2032/2033",2033,121,121,100,34.7355445909634,196.749592412545,90.6538198393139,43.674506283857,90.9870964462323,1289.04034574774,1090,965.655036014636,1172,1056.5,995,1021.5,70.7712810188928
"2033/2034",2034,120,120,100,30.7034361236111,179.967772125942,77.6115898659343,42.8072578354027,85.9702939053025,1323.35055963421,1024,876.209835561305,1016,1124,1003,934.5,61.9696508245338
"2034/2035",2035,120,120,100,30.2117745606388,188.842673452177,89.1946539186829,42.647690357104,90.2877431429012,1281.27603851671,1041.5,905.320196924673,1103.5,1054.5,1020,976.5,64.668137077455
