"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,30.8583386158564,173.458790040502,91.259591797275,44.7502315192892,90.9483552049617,1285.20367558468,1062.5,907.825617432423,1157.5,1035,1044,977,67.789389043113
"2002/2003",2003,120,120,100,39.5794733663048,215.114902235192,86.8141479936071,55.1360751677071,99.2002948488449,1372.94982960932,1145,1009.36804897376,1267,1111.5,1100,1103,73.8962854973413
"2003/2004",2004,120,120,100,38.3048060735905,253.823823847039,73.0263340299991,53.9255249072387,95.3811365700426,1492.06024821093,1223.5,1027.11823425624,1348,1183,1223,1118,72.1706250925614
"2004/2005",2005,121,121,100,39.3279130299805,229.203973045803,76.4692698476441,52.3045828524029,93.3475407420111,1442.78878285013,1199,1058.53850771947,1289,1202,1127,1119.5,70.6755453323011
"2005/2006",2006,120,120,100,35.3942072367616,208.88437918411,87.0298656691312,44.8948510294934,91.8716517051208,1437.7945928156,1238,1091.80868254328,1325,1224,1147,1176.5,70.869037308561
"2006/2007",2007,120,120,100,43.0965852247006,262.000012675125,71.9977785261264,53.2706043026823,92.5452360705526,1592.02165481885,1355.5,1190.66631429023,1439,1338,1250,1267,74.7965746858283
"2007/2008",2008,120,120,100,29.7798370740512,186.327540529429,87.6174249815768,46.2937937910211,95.71788404323,1234.16144002437,996,917.060864515784,1113.5,955.5,928,944.5,71.4669528636473
"2008/2009",2009,121,121,100,34.3622199355565,226.946549686529,72.7319414298631,42.6209933807395,86.9373300825176,1353.65925014977,1107.5,961.073394347293,1099,1181,1025,1017,64.813561338217
"2009/2010",2010,120,120,100,28.5079757507199,166.269973254623,89.847406693137,44.5333964099881,92.4196395903854,1145.76068524006,792,650.894752813224,908,834,950,708.5,62.3885883998162
"2010/2011",2011,120,120,100,36.2347758185729,216.883785780167,88.3936512778749,48.4564756502217,92.2320459506153,1427.06646693727,1237.5,1076.83818045495,1322,1184.5,1162,1164,72.1332870341985
"2011/2012",2012,120,120,100,26.9744559961645,180.087154330539,93.4273696867122,40.9000773569,92.7614235188412,1166.87393787352,900.5,770.148645906131,1026.5,896.5,916,841,65.0531548084343
"2012/2013",2013,121,121,100,38.2300699055009,216.937741035343,82.289212576585,49.1022943198901,91.1824367379247,1393.40614862499,1113.5,938.259147844612,1164,1117,1145,997.5,67.4684035476421
"2013/2014",2014,120,120,100,44.0577740903334,235.864379765421,84.6431351306864,57.2906592662688,96.7262233560432,1454.31736583911,1214.5,1112.52102062991,1330.5,1192.5,1157,1188.5,74.8748954903199
"2014/2015",2015,120,120,100,36.714892415325,223.639866510235,80.4471005690877,52.5708278618082,94.2730474234198,1308.09142806116,1072,933.390293381803,1198,1037,1041,988.5,69.8974218440687
"2015/2016",2016,120,120,100,41.295242449758,221.940895735315,85.3578596590067,57.9023512300494,98.9632724310517,1445.31165128628,1193.5,1035.70414484227,1325,1139,1206,1121,75.9341850548549
"2016/2017",2017,121,121,100,41.1397715114569,210.620444349087,74.7706618395859,54.3598542777989,95.3932620839912,1474.05100221861,1251.5,1108.08737524274,1322.5,1255,1123,1175.5,74.0607116826998
"2017/2018",2018,120,120,100,34.4888721950749,206.104591002178,87.1088242049281,48.6094696959739,94.6079711552617,1292.05275757885,1060.5,910.350502212246,1179,1018.5,1051,982.5,69.3573069459226
"2018/2019",2019,120,120,100,29.9251132105267,179.425239806316,92.1577248462831,45.7153515927223,95.2116503830369,1121.54150603279,896.5,775.774908983209,1012,855,909,825.5,65.8051490006774
"2019/2020",2020,120,120,100,38.1891300508735,211.966687873638,79.6763038274681,53.1198060164868,94.9170169607704,1490.39362304412,1207.5,1073.69659654897,1329,1205,1178,1147.5,73.2444792205138
"2020/2021",2021,121,121,100,35.2863873639632,209.741481162951,83.2548928113066,45.4053274330176,92.1577980835929,1436.4890590003,1219.5,1091.79274818754,1309.5,1218.5,1158,1155.5,71.4159414756086
"2021/2022",2022,120,120,100,24.2927128363129,152.600919974867,85.4225630938678,38.0318693934112,89.016046638964,1114.04073969772,807,696.431323644192,863.5,872,834,731,64.2172462124236
"2022/2023",2023,120,120,100,34.2978751520486,197.298585276173,96.077238397132,48.6852897747821,91.6992114129252,1277.75322255318,1045,911.82110315562,1151.5,1011,1043,978,67.7128805032953
"2023/2024",2024,120,120,100,36.9898731999024,221.131617752352,76.6131874610038,51.4941189787203,95.3574060672548,1541.39785786491,1307,1175.98704458836,1430,1280.5,1265,1243,74.9149246907377
"2024/2025",2025,121,121,100,42.077472969585,218.469946358449,90.9239112230631,58.5918965017764,99.3921589979749,1422.25354739351,1114.5,981.452487975308,1314,1064.5,1207,1063,74.2892377070661
"2025/2026",2026,120,120,100,34.9074077181924,207.881157717291,89.319327140893,52.5591660707103,95.8538622170134,1299.8480238099,1038.5,890.955716655128,1178,994,1051,952,71.0187818729846
"2026/2027",2027,120,120,100,44.7290668939656,298.599962657315,70.1670051154221,55.8074078960653,93.2710713323925,1610.49668849329,1382,1197.21643212375,1452.5,1361.5,1289,1292.5,75.514358023112
"2027/2028",2028,120,120,100,30.344367860615,167.366293016037,101.803121676401,43.9385420069343,94.5053966282601,1101.52689135277,855,757.84387007853,998,810.5,900,804.5,60.8000066373411
"2028/2029",2029,121,121,100,36.089852639263,216.593743796584,71.5467466576874,52.9138688710734,94.3851225362739,1404.67217355799,1077,941.065698913113,1169.5,1117.5,1072,982,73.6299935188122
"2029/2030",2030,120,120,100,36.0208513168002,215.76142677077,85.9194855049876,49.6438026394806,96.0868241335094,1331.51386835448,1061,935.598628369753,1179,1047,1093,1013,73.2727413569874
"2030/2031",2031,120,120,100,38.669705472913,230.890216038706,75.787998164259,51.561576480774,91.6244455002216,1551.06492330012,1328,1194.15813490345,1400.5,1313,1183,1253,76.8364237437418
"2031/2032",2032,120,120,100,42.1101485050262,252.721395651146,70.7541762959634,52.2554354891844,92.1821341594195,1604.50749970277,1387.5,1273.64083909993,1431.5,1384,1212,1325.5,75.9704791980716
"2032/2033",2033,121,121,100,31.2944182196099,195.360768409779,94.3200129857763,41.6366876359978,91.7501518379808,1162.20153075158,949,839.130344076748,1062.5,919,907,890.5,67.5537579218267
"2033/2034",2034,120,120,100,28.1053616622248,182.693619158527,80.2434075964903,43.3867930163986,88.4501920437345,1255.14854431806,957,808.489104831773,981,1028,974,863.5,64.1150612726824
"2034/2035",2035,120,120,100,25.3828619441764,178.420071040117,92.5586605034889,39.7408891590527,91.2200413326007,1120.6753776689,859,749.489385142864,960,875.5,875,803.5,62.3376331774966
"2035/2036",2036,120,120,100,38.8805671861041,220.208237769634,88.5297880051596,52.2959785925185,95.5884994716577,1356.88846675551,1135.5,1013.19747407516,1242,1109,1076,1097,72.2183910703561
"2036/2037",2037,121,121,100,45.8074508097641,221.887858615557,86.1477127677544,61.0901493274238,97.0825533137878,1450.19402457644,1174,1065.40446102487,1299.5,1166,1158,1135.5,75.4824683428569
"2037/2038",2038,120,120,100,31.4823720559191,196.242712174136,89.3190375247558,44.632913831418,90.7102006097045,1218.5768695549,993.5,895.362313424313,1090.5,1004.5,904,949,68.6915877814117
"2038/2039",2039,120,120,100,40.3583486516316,232.771916866338,85.0639460355235,59.859609979138,99.1142838995486,1453.85396295054,1166,990.890327563931,1349.5,1108.5,1227,1095,76.4149096012507
"2039/2040",2040,120,120,100,29.1433898642817,174.195690258948,86.9076335906532,42.5567054375773,92.6565833893425,1284.55987372252,1022.5,892.434902970486,1136,1016.5,1018,950.5,67.8112065397181
"2040/2041",2041,121,121,100,38.9379769989433,228.079313326507,85.1754843233273,53.8774307452479,98.051059928349,1467.85760977685,1221,1087.46184689742,1357.5,1176,1178,1163.5,73.322006688737
"2041/2042",2042,120,120,100,23.9744771044205,151.412195640793,104.767796824171,37.218797571309,91.1839533546206,1008.23509504103,741.5,629.565702403685,884,717,830,675.5,58.9744653211237
"2042/2043",2043,120,120,100,29.0957510465896,143.425866367696,101.4448794741,40.3726492466654,87.896634338961,1156.26572113887,959.5,819.572061401246,1013,955,942,881.5,60.5848146654762
