"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,30.6943706917506,179.133788577913,89.1399728576098,45.819361902814,91.4436619531415,1295.36832420329,1057,913.205728699232,1171.5,1041.5,1051,982,68.7704371526691
"2002/2003",2003,120,120,100,40.6517574536018,222.687570067049,84.9768680509303,56.6486123704535,99.4844193353405,1381.91471369771,1150.5,1009.7588007197,1272.5,1111,1110,1099.5,75.5391964629707
"2003/2004",2004,120,120,100,37.6401217347791,258.418265647485,71.5204087207952,52.3260016808996,94.7686648453679,1486.18390610868,1226,1026.88697182609,1327.5,1194.5,1216,1121,71.7918973611848
"2004/2005",2005,121,121,100,39.0675283528608,232.58139472734,74.9285630810913,51.5810770634858,93.0161992766681,1437.14173613494,1200.5,1053.37133009031,1276.5,1196,1099,1110.5,70.540159230138
"2005/2006",2006,120,120,100,35.7146664623736,213.026361942811,85.2836290055069,44.8097291101491,91.494044379973,1440.88155982524,1234,1110.15772899838,1313.5,1232,1137,1183.5,69.2581834162986
"2006/2007",2007,120,120,100,41.5915261545813,265.344617007017,70.5616087389643,52.635444393296,92.1340248904602,1576.22930260786,1335.5,1180.37398731123,1413.5,1322.5,1230,1245.5,72.8679596729975
"2007/2008",2008,120,120,100,30.4002379615885,192.120594001663,85.6536052964128,46.2333319386639,95.4890801231137,1233.95514996632,1003.5,926.779356591423,1112.5,963,925,951,71.9739754661263
"2008/2009",2009,121,121,100,32.8133352325992,227.468053253438,71.4701880280965,40.481286851872,86.0717021057928,1336.51390378419,1105,947.649173278826,1081,1173.5,1009,1001,64.955457619973
"2009/2010",2010,120,120,100,29.420346735909,174.855679158648,88.1028289151604,45.1836003507652,92.1379298176301,1172.48701984751,828,683.165002580276,925.5,868,978,741,64.4120240374118
"2010/2011",2011,120,120,100,36.1970458531142,221.211791874742,86.896022934013,47.1664698811703,91.3897888611885,1431.46319358219,1253,1096.50990663444,1321,1211,1144,1187,72.15393775748
"2011/2012",2012,120,120,100,28.276816083198,188.893056625984,91.3569992121892,42.2755178460639,92.8212821493686,1185.87952930284,907,788.900967665131,1044.5,905.5,945,848.5,65.1346065073467
"2012/2013",2013,121,121,100,37.4429169951603,222.532288915556,80.5789279686704,48.4918373646843,90.814858472756,1391.36688751387,1108,943.446572536186,1153.5,1128,1134,1005,69.8771649662285
"2013/2014",2014,120,120,100,44.7530252842295,242.065980619301,82.9200335478148,57.4783999246805,96.4986706506718,1456.27319147087,1229,1119.78286245247,1338.5,1192.5,1146,1187.5,76.7902330410047
"2014/2015",2015,120,120,100,37.223348163968,232.319147133289,78.7577332036548,52.7714649713874,94.0891330976777,1313.54782387062,1075.5,935.560050577507,1189.5,1046,1029,993.5,71.905798169857
"2015/2016",2016,120,120,100,41.6985604611132,229.382898006335,83.6607446589915,57.2172545087945,98.5625661879794,1449.60326982405,1203,1050.6591251009,1338.5,1148.5,1187,1126,76.8124304767862
"2016/2017",2017,121,121,100,41.7046660163739,218.988227204115,73.1561253669043,54.6538461148272,95.1515707224402,1479.28044212758,1254.5,1125.83566468945,1334.5,1282.5,1132,1201.5,74.48875338364
"2017/2018",2018,120,120,100,35.2231230975552,213.158376395174,85.4457889567074,49.2665487043266,94.4317745461767,1298.39649599305,1064,910.297240521119,1189,1021,1067,978.5,69.754278643599
"2018/2019",2019,120,120,100,31.1521301371055,187.821018804772,89.9778277075909,47.3382446153573,95.7301681125722,1139.41978582428,916.5,790.447616237612,1025,866.5,910,835.5,67.1717670732764
