"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,29.0949142109852,136.21707221754,99.5833163507177,45.1036222583382,92.1883484755683,1307.85796542643,1067,921.222937377569,1210,1024.5,1054,991.5,67.1855107320174
"2002/2003",2003,120,120,100,39.953944178701,166.569884626476,95.2507624422821,56.504846640356,99.4537140795389,1442.79256818494,1167.5,1013.46371445223,1324,1121.5,1187,1118.5,72.5200790976475
"2003/2004",2004,120,120,100,36.5048479320049,182.323110422099,80.4946019405649,50.500739981693,94.6400751362881,1543.98483787731,1320,1144.61312190484,1432.5,1269,1259,1231.5,76.0256504644648
"2004/2005",2005,121,121,100,38.7818457262876,168.381457090735,83.6384219936788,51.4286922161053,93.2492311021386,1522.67172068359,1305,1141.51555478266,1387.5,1262.5,1208,1196,70.559314826788
"2005/2006",2006,120,120,100,36.4482232743028,166.477788862999,94.9659456387419,45.8217864465854,91.9888928484071,1486.17958435804,1275,1167.4589769203,1339,1280.5,1156,1249.5,70.2637969263942
"2006/2007",2007,120,120,100,41.8975384046125,199.078822428229,78.8210481609906,54.1488401039578,93.3513456765022,1660.17059091722,1397.5,1271.43471580869,1506,1401,1329,1338.5,71.3652477249489
"2007/2008",2008,120,120,100,30.0502138239064,154.550358068255,97.2577251841564,44.7025714744867,95.0661863234313,1272.46751638612,1018.5,939.765240659491,1143,975,989,966.5,68.1422371104198
"2008/2009",2009,121,121,100,32.4795384766261,160.519632240062,80.4982156144829,40.3725813363043,85.9861946864858,1380.16682471359,1175,1071.36634938313,1153,1251,995,1109,65.9910228608976
"2009/2010",2010,120,120,100,27.6841402720187,133.030360049827,99.0985579731157,43.2275628204328,91.6609245652021,1198.47170979203,862,688.451442595171,984,866.5,1023,751,62.4521861589941
"2010/2011",2011,120,120,100,36.7146504229132,165.485019357637,97.021085266283,47.8523259224214,90.8562740717529,1512.26033688385,1319,1187.16641508407,1412.5,1277.5,1208,1267,70.3561729140145
"2011/2012",2012,120,120,100,28.1932759796269,147.388798803,103.123662390091,42.299597176753,92.4881703940253,1205.64026057942,949.5,816.019337945138,1079,904,1019,870.5,63.7831514896145
"2012/2013",2013,121,121,100,35.3993546201287,162.162053451484,90.2729288992593,47.9162651754932,91.6144000250447,1447.10549116323,1193.5,1004.62442794108,1272,1182.5,1220,1087,71.5633732962347
"2013/2014",2014,120,120,100,43.5969308856059,188.605005539288,93.3413337091052,57.2030194764941,96.3952909086848,1514.74632456664,1291.5,1158.80032539265,1398.5,1245.5,1232,1243,73.6051792498015
