"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.4753968166516,150.67950725454,93.6605054644128,41.5349636401119,91.4102024546735,1216.51413888235,961.5,812.72370424292,1082.5,941.5,978,876,66.6829074202365
"2002/2003",2003,120,120,100,37.8320530176572,209.661142314904,89.8373079796298,54.8670277564045,98.5400641285587,1337.0418171508,1100.5,954.361136445444,1237.5,1047,1113,1036.5,72.722725075383
"2003/2004",2004,120,120,100,33.9594866062675,230.96973375483,76.1727154988181,45.6905399800069,92.649767855967,1384.84772951543,1160.5,963.012366644842,1234.5,1124,1139,1049,68.5101072731359
"2004/2005",2005,121,121,100,35.7515014989604,207.295123625772,79.6110416269256,48.8047400241717,91.74201071855,1371.85442654433,1127,993.707695942011,1197,1135.5,1059,1045.5,68.0005680101113
"2005/2006",2006,120,120,100,32.3410206884064,189.818240555326,89.5660762423927,42.8859058221186,91.1738420823106,1379.01588021158,1172.5,1037.09261275164,1245,1176.5,1095,1125.5,68.6572656290726
"2006/2007",2007,120,120,100,38.1751367022651,238.184947846661,74.6330865854807,49.9101841211121,92.0466221313305,1498.35164141061,1248.5,1128.54084474596,1327,1248.5,1133,1174.5,72.4950343722294
"2007/2008",2008,120,120,100,26.1696482663041,165.983326490438,90.4303391988233,40.1864057889793,93.7547852668408,1135.06214715382,918.5,844.129288485224,1016.5,884,827,869,69.1353497038884
"2008/2009",2009,121,121,100,28.8358490832212,198.112468857783,76.5148122332379,36.6978067329705,84.4110038988854,1269.79588293823,1030,886.00707587285,1004,1111.5,954,931,63.4776401772815
"2009/2010",2010,120,120,100,24.6833387693235,150.854638013104,93.8656710123178,39.4616119275493,89.9557568263672,1084.09668590774,742.5,599.028329056538,834.5,778,895,645.5,58.6675614147775
"2010/2011",2011,120,120,100,34.8972668411266,206.535159323815,93.3148782319433,45.6536634602198,88.9371018036621,1409.53811663662,1229.5,1076.43738684469,1300.5,1186,1139,1161,67.4558212080344
"2011/2012",2012,120,120,100,28.0321343472452,172.850068921383,96.3098547450792,40.2582576784972,91.3798504940668,1112.81302578444,838,734.720248246631,973.5,834.5,865,778.5,65.0454568929188
"2012/2013",2013,121,121,100,33.2051661523891,199.790092530481,84.8716201467884,46.200784323288,90.8180699931683,1341.90691720531,1048.5,884.977058091887,1125.5,1071,1109,950.5,68.151394120001
"2013/2014",2014,120,120,100,41.7115653764235,221.629007309612,87.8186264808522,54.8234261714392,95.099037586485,1403.97261348311,1184.5,1073.87521008719,1295,1137,1130,1133.5,74.685655198296
"2014/2015",2015,120,120,100,34.9004166378708,210.929488362143,83.7657663350394,49.5957362922509,92.8953619701035,1277.94186183439,1034,876.390000347354,1161,999.5,1039,943,69.3286982913705
"2015/2016",2016,120,120,100,40.1044786781674,211.665878695072,88.5457150528182,53.672576591257,96.8468131841455,1394.75908469524,1147,994.37217763373,1281,1106,1158,1085.5,74.3685047600361
"2016/2017",2017,121,121,100,36.704228477663,195.297931977662,77.3683034570075,51.1738544632879,94.8626456286946,1439.46866103329,1201,1069.80584422411,1283,1215,1099,1131.5,73.8318287105753
"2017/2018",2018,120,120,100,31.719220640549,190.3169579245,91.059437321433,44.4119010093053,92.2805721479678,1219.21634621176,1011,863.717209863144,1115.5,982.5,965,936.5,68.4105984259772
"2018/2019",2019,120,120,100,29.055046266536,168.848759560519,95.5165944685037,44.8234762441549,94.3134101489472,1086.84263269498,861,735.952453298585,980,816,876,784,65.849702147621
"2019/2020",2020,120,120,100,37.5209075933124,201.748117991803,82.9828376808434,50.8968864543183,93.0638147054419,1435.45226546634,1183,1051.60796526177,1271,1178.5,1130,1118,71.3104715563445
"2020/2021",2021,121,121,100,34.9429365110114,201.814994851866,85.7822387546342,45.4570926944557,91.9848334287352,1376.95782946398,1139,1010.4529792789,1222,1141,1110,1072.5,70.3167827659236
"2021/2022",2022,120,120,100,24.7291862226091,142.636169661626,88.5764998962541,36.5426209317206,87.1883878546181,1059.1405865397,759.5,661.177769683931,804,837.5,795,695.5,62.1635576549625
"2022/2023",2023,120,120,100,32.7373171166772,188.060092787423,97.8993928183832,46.1110656725836,91.3591579008788,1250.47271148268,1039.5,896.91927496903,1138,992,1029,963,66.2477340098812
"2023/2024",2024,120,120,100,34.9876940631363,205.275960799419,78.7918617993665,48.9267033701278,94.9878763048339,1494.04829174218,1268,1131.14918647576,1365.5,1238,1178,1195,75.7450171513447
"2024/2025",2025,121,121,100,36.9159029077424,202.85873120067,94.3148229131085,54.6418244937414,97.9723436836312,1371.18805168517,1066.5,937.177827049196,1269,1009.5,1170,1006,72.9838538734161
"2025/2026",2026,120,120,100,35.7888697446914,199.488506988401,93.3374050436434,52.2782024772112,94.3462516328431,1268.30435240969,998,862.178823401966,1135,961,1023,916,68.6885777249481
"2026/2027",2027,120,120,100,43.3983396528832,279.516846061065,72.7904999041488,54.7821944210876,92.3726274382246,1561.09076149851,1335,1156.57018640723,1406,1313.5,1243,1243,75.5549256717059
"2027/2028",2028,120,120,100,30.3689083476749,164.850994210381,106.615561083583,42.7034004999092,91.475100964068,1088.6142608557,866,774.768861474779,987,828.5,873,818.5,60.439939442072
"2028/2029",2029,121,121,100,29.6623206955021,193.730877914706,73.8893248766187,49.3088456771399,94.5453221225045,1333.03669585055,1002,866.391949298184,1076,1054,997,912,70.738234158649
"2029/2030",2030,120,120,100,31.3752888670177,195.745129623327,88.3665998531911,46.287573381309,96.0133862412385,1310.4504447108,1061.5,922.289665975819,1172.5,1039.5,1089,1005.5,71.9943607670875
"2030/2031",2031,120,120,100,37.604602212761,217.552242864841,79.2916005432491,49.7602784249945,90.4203368573995,1485.34734177285,1263.5,1123.0087758578,1335.5,1270,1117,1198,71.6743757983832
"2031/2032",2032,120,120,100,38.4730954501198,240.885837887272,73.6501605176413,50.4256384165314,91.7245933294034,1553.34906922438,1332,1210.39871717947,1395,1330,1194,1266.5,74.6024878905519
"2032/2033",2033,121,121,100,29.782728960232,188.525331670913,97.6290996910071,40.3237320053831,90.6591075276583,1133.38971151547,920,805.740383236098,1034.5,869.5,910,841.5,65.0441375781402
"2033/2034",2034,120,120,100,25.4191468167395,163.218220942299,84.1355864917923,38.6317744680905,86.2401963055019,1184.18029056993,877,745.778594588224,886.5,967.5,894,788,60.3979808278973
"2034/2035",2035,120,120,100,24.9719120950195,174.826058662994,94.992877527402,38.8286621366026,90.8091726732755,1105.66043717397,847,720.226210397555,951.5,838.5,882,767,62.6362935118641
"2035/2036",2036,120,120,100,39.4352816942176,212.480219827517,91.4404142468223,52.3486983363091,94.5966654706799,1326.56203124185,1102,978.879053552919,1218,1066.5,1073,1048,70.3997507877261
"2036/2037",2037,121,121,100,41.2393387489017,207.160797291244,89.4899182994999,55.3906008114553,94.9988321966488,1381.52711378461,1120,1021.17138071061,1243.5,1116,1098,1084,73.5927369793208
"2037/2038",2038,120,120,100,29.3522947605165,184.340761638464,91.9789980052353,41.4070012658925,89.6428083331613,1187.19210533466,963,855.375498956902,1058,954,895,894.5,67.3298148519361
"2038/2039",2039,120,120,100,39.0863677330864,220.500718519047,87.7858429693441,57.0644405449206,98.0065268435391,1438.48745189578,1166,978.607227493645,1343,1103.5,1268,1086,72.5150113969221
"2039/2040",2040,120,120,100,28.3618083690733,164.404854142317,91.1097002769264,41.6481458293295,90.3999421648074,1261.41126657117,997,874.543602313526,1115,995.5,985,922.5,65.0118465650685
"2040/2041",2041,121,121,100,36.3840278955244,216.63318656312,88.71392855435,50.6828643396572,96.0758077469837,1427.01016145547,1195,1049.38873533226,1316,1132.5,1178,1117.5,72.0669188318889
"2041/2042",2042,120,120,100,23.7387445775253,147.07750619741,110.984318252359,36.1399365349747,87.9918141485265,1000.93020164124,743,631.568117676848,875.5,720,827,670,58.6744897307663
"2042/2043",2043,120,120,100,25.8197222659418,132.93321060066,104.27094317848,37.5831500774428,87.8734747805765,1107.1237096548,908.5,760.019231015809,964.5,895,912,821,58.5112663975569
"2043/2044",2044,120,120,100,37.6692742103561,234.134735170595,81.4401655649743,49.8437120376782,91.4627247891265,1440.671818349,1180.5,1027.19633417756,1282,1158,1162,1093.5,70.5741630654766
"2044/2045",2045,121,121,100,24.3316816911809,153.619177886574,93.8851479383852,36.2027453066755,91.7651433257986,1086.30454381325,824,692.433674862041,927.5,833.5,857,759,59.5580763753787
"2045/2046",2046,120,120,100,30.1445946217868,183.826182484359,77.3005573891212,44.9513852914474,88.2151578011023,1299.5275494418,1050,893.061203732024,1032.5,1136.5,955,980,65.3679732511737
"2046/2047",2047,120,120,100,27.0000356380692,170.146414295166,96.864603322358,39.1916728688102,90.1258095252651,1155.10282161426,918.5,845.260681146952,1021,921,869,875.5,66.7160149073979
"2047/2048",2048,120,120,100,26.9030393939226,179.194327343917,98.7727084883339,39.2923264473364,89.6585971195398,1191.72415158934,992,878.772628777064,1089,946.5,947,923.5,65.32473347011
