"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.0293574835723,153.756512612192,99.7630223480157,40.8658499916349,91.9871407572935,1156.81125950794,923,784.606254132604,1051.5,890.5,934,855.5,67.1046439541773
"2002/2003",2003,120,120,100,33.5458541325476,189.596595341073,95.2913777458566,52.8295886631004,99.1723125785219,1202.8619172255,938,811.660563749759,1109.5,880.5,1040,876,70.867194530357
"2003/2004",2004,120,120,100,36.2740329845098,236.144684221589,80.3389025675131,49.6333882906227,95.8421166448788,1311.51488942126,1043,888.011830681499,1189,994.5,1081,953,70.1315408582381
"2004/2005",2005,121,121,100,35.8711842648504,212.625626185479,84.1690707340318,51.1989369096214,94.620257881879,1328.04134630146,1067,951.451384870929,1195,1055.5,1052,991.5,68.6341436942413
"2005/2006",2006,120,120,100,35.4639652971945,208.334767495106,95.5575241399138,46.5073221190876,92.6791757467215,1336.80216935909,1110,962.728700403194,1211.5,1081.5,1084,1048.5,65.194054962484
"2006/2007",2007,120,120,100,43.7732805536061,248.03623768871,79.0029870152727,56.4659875616148,95.254144943418,1459.77343035299,1183,1055.01275517391,1305.5,1179,1143,1128,70.8292789485773
"2007/2008",2008,120,120,100,28.0769784921492,164.226653235163,96.1724498114462,40.7325641946856,94.225516839236,1088.04762504429,862.5,803.922742507842,987,845.5,832,837.5,68.4567656377537
"2008/2009",2009,121,121,100,35.4076249674376,223.274087897568,80.7688177275588,43.4119284021206,87.6061867315977,1295.86229716566,1075.5,924.110166467429,1088.5,1099,975,971.5,66.1584516386074
"2009/2010",2010,120,120,100,23.5271461587795,142.94261449804,99.3191645301506,38.2875612930776,90.8765452948673,1000.5554149337,678,553.002157208419,808.5,704,820,596,59.7225215325325
"2010/2011",2011,120,120,100,37.3679218078744,216.53678013983,98.363853497975,48.8672329181152,91.3553676548934,1318.6550081926,1119.5,956.63595133687,1235.5,1043,1104,1028.5,67.10777848059
"2011/2012",2012,120,120,100,25.6580871587768,168.65260617226,102.590017689649,38.7014674096589,91.750832028585,1031.54478668152,804,678.261527537699,930.5,769.5,831,736,63.4460866541795
"2012/2013",2013,121,121,100,32.0070653278774,196.808202597475,90.2910365529767,46.399469550767,92.3328827649855,1257.74961463191,956,801.589462678665,1082,962,1017,864.5,68.6142056091862
"2013/2014",2014,120,120,100,39.289691208779,209.922568454188,93.0882224887903,56.2090616013555,97.064237148301,1312.63488584422,1074.5,944.147502614544,1208.5,1026,1090,1024.5,73.1339212153584
"2014/2015",2015,120,120,100,31.9219154798931,194.92322331771,88.5886648757588,47.7966287222263,94.6834740733327,1193.83834519399,980,837.672745992046,1082.5,915.5,938,889,70.596021775875
"2015/2016",2016,120,120,100,36.5552813635966,198.109888493083,93.8280144946706,53.356891492157,98.6051783181158,1272.57820811937,999.5,851.875974301967,1161.5,937.5,1084,924.5,71.0091392167137
"2016/2017",2017,121,121,100,34.4624455847831,199.582059530171,81.9891303256178,51.5927140342977,97.3748948254016,1404.32172138026,1154.5,1023.85738264496,1249,1150.5,1119,1098.5,73.753776314996
"2017/2018",2018,120,120,100,31.1210217868149,187.386974076234,96.2864108169522,46.1101124875246,94.0552756259423,1133.32698095827,896,769.309450394874,1040,850.5,934,827.5,68.234014504256
"2018/2019",2019,120,120,100,25.3341762342368,153.178687392824,101.075745994496,41.5372849855008,94.4292465333364,983.539397976354,743.5,650.452578513818,881,711,804,687.5,65.8505144975618
