"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.456269619538,170.640951982127,87.9223052478687,44.0767674347115,90.3319240551319,1340.66930294656,1130,967.854675810738,1197.5,1117.5,1054,1044,68.4065511175878
"2002/2003",2003,120,120,100,40.167210255087,217.551416893631,83.4695619346988,56.0052639594651,98.9185034203112,1437.87375724802,1193.5,1087.90633426473,1326,1167.5,1127,1155,75.3022222187802
"2003/2004",2004,120,120,100,41.1265910667232,262.582914853682,70.0462369787262,56.1547494666488,94.494101508431,1608.64526560892,1344.5,1126.74255368615,1453.5,1291.5,1340,1215,75.0874040725546
"2004/2005",2005,121,121,100,39.254365801592,233.339400639445,73.2794984258344,51.602705323024,92.3886212871406,1523.78783546523,1284.5,1137.569519957,1340.5,1278,1174,1190,70.5126192043523
"2005/2006",2006,120,120,100,33.516567122651,204.810813838083,83.5759361916679,43.845039732312,91.2951538643267,1498.44370689122,1296.5,1162.36565498739,1362,1292.5,1191,1239.5,72.1929210940602
"2006/2007",2007,120,120,100,41.3272412853433,256.971800977428,69.1794035490539,50.0422713223398,90.7766499805486,1658.45276082084,1432.5,1272.48324399841,1487.5,1424,1301,1337,75.0002059199334
"2007/2008",2008,120,120,100,33.8177474638603,203.669050676578,84.4409983257656,50.1500845464416,95.7314203094031,1339.86285123348,1080.5,991.037139870853,1218.5,1048,1028,1032,73.1107308989488
"2008/2009",2009,121,121,100,34.0679910132586,220.500598685295,69.5321772306019,41.5398913119606,85.987564223614,1399.03809770715,1151.5,1010.03766322517,1130.5,1246.5,1050,1069.5,65.0982822173579
"2009/2010",2010,120,120,100,33.0028745098922,182.150449457892,86.0558393608346,48.2318676504357,92.6757855215122,1259.53787054673,901.5,736.543799313908,994.5,931.5,1069,796.5,65.294359439957
"2010/2011",2011,120,120,100,36.7483951781538,217.976519901607,84.2215130884248,48.2185466537939,92.448044946035,1496.38843358546,1283,1136.44779179313,1381,1253.5,1199,1227.5,71.6463458106475
"2011/2012",2012,120,120,100,29.5003927484311,187.742317754283,89.8642654136025,43.7330794652122,92.9374205315751,1256.40798568891,963,835.014371889956,1093,971.5,1021,903,65.7784346006422
"2012/2013",2013,121,121,100,38.1332098153653,216.661604923398,79.1815475578901,49.0399395711634,90.0172932494036,1461.68969531401,1186,1018.80549754063,1198,1236.5,1176,1101.5,70.6918366128327
