"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.3931032092915,178.868623226465,86.3189840617243,48.4545808976352,92.8345604390175,1393.78092891408,1169.5,1011.5320457117,1249.5,1145,1110,1084.5,70.4605758181355
"2002/2003",2003,120,120,100,43.9440365508321,219.018580757743,83.3087690138519,59.2304569519866,99.3678379390036,1459.82875155211,1184.5,1094.92609471822,1342.5,1177.5,1147,1169,77.9665439569866
"2003/2004",2004,120,120,100,40.0233088646103,247.544788977043,69.8269312834065,54.7523374268915,94.4744571959255,1586.90710892678,1315,1137.21983115337,1420,1289,1272,1216,75.7277938863537
"2004/2005",2005,121,121,100,39.981834342884,228.869215278832,72.801069012979,51.1383246884674,92.5052769612147,1550.09706438812,1321,1177.14576613666,1376.5,1315,1196,1224.5,70.1174203488287
"2005/2006",2006,120,120,100,37.7970375877734,222.897965710883,82.0948218256808,47.0159141692003,92.8175465264319,1556.94682438596,1351.5,1231.79705603301,1429.5,1344,1238,1301.5,74.2269680320592
"2006/2007",2007,120,120,100,43.820867487951,261.573687648857,68.7800224852627,52.7794788789879,91.243592541959,1698.51609925465,1493,1319.47996735515,1548,1483,1352,1403.5,74.505849951523
"2007/2008",2008,120,120,100,36.2557988913528,214.464705766875,83.2840345159047,53.1430776817465,97.8958177284786,1405.21598273822,1139.5,1035.67163837494,1293,1094,1102,1084,75.2760323941474
"2008/2009",2009,121,121,100,32.1486478985419,209.980843629619,69.2383670898771,40.7442512940118,86.3403749658182,1405.99768635586,1182,1041.02787042034,1150,1255.5,1029,1086,65.3157451045025
"2009/2010",2010,120,120,100,33.9108385392705,188.875717361461,85.3015419695228,49.9129169335469,93.948705914956,1313.76787621332,972.5,809.237077356627,1081,1003,1117,886.5,68.7384545881196
"2010/2011",2011,120,120,100,39.1600747619447,226.98789794742,83.9875220709419,50.7341831531409,92.4708149548749,1564.20777198956,1380,1224.71873793556,1438,1331.5,1251,1310,74.4944184734977
"2011/2012",2012,120,120,100,30.1160068623923,196.114579848197,88.4648136334848,45.6189115431899,94.9612176675162,1302.8321191712,1012,877.709533938192,1154.5,997,1080,944,67.8540382986225
"2012/2013",2013,121,121,100,37.5957729309833,219.712403091632,78.467130643224,49.1828010520679,91.0624817866143,1487.42206887472,1215.5,1054.87277000019,1267.5,1258,1186,1139.5,72.8372681098001
"2013/2014",2014,120,120,100,46.2931765332429,236.87970465685,80.8982099644041,59.6603456939685,96.725009847627,1510.29811779741,1274.5,1169.68645005973,1387.5,1238,1182,1228,75.897826042125
"2014/2015",2015,120,120,100,37.4627146455743,238.307434498904,77.2113173869913,52.846514353286,94.0644219016133,1460.48522796571,1241.5,1093.64114174767,1350.5,1199.5,1162,1159,72.7463829541844
"2015/2016",2016,120,120,100,41.9668652372593,221.906238096384,81.7678438067745,57.9554110130438,98.6144029498616,1557.1285735493,1326,1164.72709502779,1440,1271.5,1291,1250,76.3781539679096
"2016/2017",2017,121,121,100,43.144656271546,226.845315954163,71.406395931855,54.5751845613354,94.31555855975,1608.78804156882,1365,1265.53151382361,1451,1394.5,1237,1325,77.7080202933744
"2017/2018",2018,120,120,100,39.1187703943634,218.356655769985,83.1719295546605,53.5636510698774,95.7289197655917,1415.87078858157,1169.5,987.646307440435,1297,1110.5,1188,1071,72.2624069786295
"2018/2019",2019,120,120,100,36.0078437340988,204.766784405328,87.8951206691171,53.7330612454484,97.5854370220354,1277.75366340364,1011,887.919107238529,1150,976,1037,951,70.77439221642
