"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.016893192051,177.472745562037,88.8943114231918,45.1051014341943,91.182634744669,1308.64191225639,1085,930.748828066636,1170.5,1063.5,1058,999.5,68.8147811358592
"2002/2003",2003,120,120,100,40.9806738566205,221.030012552531,84.7075425563721,56.6455483322519,99.472994295626,1400.18936543831,1161.5,1039.73719629084,1287,1128.5,1111,1120,74.8415651655591
"2003/2004",2004,120,120,100,40.4227659336398,262.924634437833,71.1962374449144,55.8852769492811,95.2784758359576,1536.69237929556,1272,1061.63754158765,1398.5,1227,1252,1153.5,75.3705506824705
"2004/2005",2005,121,121,100,39.9342993614808,236.998317273342,74.4361791802311,52.8139874969589,93.3452719462253,1474.20032552418,1223,1093.20848710524,1308.5,1233.5,1154,1149.5,70.3913158484513
"2005/2006",2006,120,120,100,35.2420748494188,215.908023772839,84.7462769088384,45.0284893417415,92.0772440273637,1464.41403840383,1265.5,1118.08869910307,1351,1247.5,1174,1200,71.9914878220729
"2006/2007",2007,120,120,100,43.5970452399854,269.850970808253,70.4316969866835,52.5783462596215,91.6836875806899,1622.83259817717,1393.5,1222.00218806067,1456,1376,1282,1298.5,74.0077227997132
"2007/2008",2008,120,120,100,32.3751831089766,198.352908662633,85.2824953643081,48.9711137273256,96.4217574805284,1285.98364800151,1036.5,951.794131238477,1176.5,995.5,1002,985,72.4828256855105
"2008/2009",2009,121,121,100,34.1631198014382,228.237696513324,70.6123903879519,42.7583505531362,87.2150141475357,1375.60808528461,1124.5,979.766418334336,1114.5,1202.5,1034,1033,65.0023189417651
"2009/2010",2010,120,120,100,30.3016869593015,175.747736494707,87.3419930539978,46.3989682289105,93.0899939267766,1185.96773058192,825,683.350466743887,950,868,974,744,63.9858215048268
"2010/2011",2011,120,120,100,36.9223325019932,224.066262167055,85.6952931545384,49.3336845464723,92.9127197560991,1461.7078473144,1257.5,1097.81096973488,1368,1207.5,1199,1186,72.9049788705991
"2011/2012",2012,120,120,100,28.0150244816053,187.377119632688,90.7923492326173,42.2689756064524,93.5940939838268,1206.09913785617,938,794.99369420857,1060,925.5,950,867.5,67.1018529140754
"2012/2013",2013,121,121,100,37.9535291352211,221.941124028684,80.3798222211126,49.1673549799832,90.9459628839126,1419.77157052059,1139.5,973.561542514781,1183.5,1172.5,1148,1049,69.5028933608094
"2013/2014",2014,120,120,100,45.8481632002169,244.175862407906,82.494493303901,58.6379781262499,96.947717388957,1473.55029815932,1225.5,1130.04613019108,1355,1200,1168,1194,76.7746808949651
"2014/2015",2015,120,120,100,37.7996373229693,234.43910757028,78.5735509866821,53.3375419559398,94.3021740432433,1340.54187500491,1101.5,966.843713656091,1229,1078,1063,1027,71.770248014861
"2015/2016",2016,120,120,100,41.7112930731509,227.792742582696,83.344590082711,57.9706582522966,98.8850606500573,1473.43095733556,1228.5,1072.79448484747,1365.5,1174,1221,1153,76.492652409109
"2016/2017",2017,121,121,100,42.3759825898822,220.667047697816,73.0058653533172,54.8478508575425,95.1266887125575,1506.62715013488,1278,1137.03573874932,1362.5,1290.5,1141,1207.5,74.5079368550423
"2017/2018",2018,120,120,100,35.8338325914526,211.826932191632,84.7632813769393,50.0100443030416,95.3326764834208,1330.00084187959,1094.5,933.892194346627,1219.5,1048,1074,1008.5,72.3172557861876
"2018/2019",2019,120,120,100,31.1029522610816,188.473799318244,89.8166531340661,47.6516183746976,95.7819383020284,1153.99231594261,930,806.007915775088,1042.5,885.5,920,854,66.6994362336545
"2019/2020",2020,120,120,100,39.9642960130467,219.061946119235,77.4766940342167,54.9112158547198,95.3263353258021,1527.93753739326,1241.5,1094.46489681576,1373,1234,1235,1172.5,73.9037365960635
"2020/2021",2021,121,121,100,34.7512993427647,212.312441412199,81.305220076476,45.3515385660917,92.1927684710755,1458.77417805491,1245,1114.7032674083,1308,1237,1164,1172,71.6967431053672
"2021/2022",2022,120,120,100,26.4269350352245,164.556952351312,83.0505061122475,39.960281659339,89.8322271062999,1161.72571315117,851,729.276009578123,908,908.5,885,768,65.2021195285079
"2022/2023",2023,120,120,100,35.3539600643979,203.315211661787,93.653207046531,49.0119731718989,92.0397010881027,1301.16567902031,1068,936.115301641938,1176.5,1039.5,1053,1004,69.0556991533626
"2023/2024",2024,120,120,100,38.5372607966909,227.403006969357,74.7074693051704,51.7878851618709,95.1015286099329,1575.88907610809,1341.5,1204.92735827037,1450,1312.5,1270,1270,75.9660778445427
"2024/2025",2025,121,121,100,43.1524720208701,224.711719186699,88.441302732497,60.3046684700339,100.024280619161,1466.24584462655,1155.5,1020.89310281264,1349.5,1106.5,1238,1105,75.51464759488
"2025/2026",2026,120,120,100,35.4377081706428,213.089531331388,86.9951384364994,52.6717757458751,95.7702458798365,1333.90901659167,1073.5,926.337772156443,1216,1034.5,1078,990.5,72.5543142596521
"2026/2027",2027,120,120,100,45.0134176358143,303.652636095028,68.1469135398782,56.2622667408717,93.2968677399441,1631.79512624533,1408,1224.15436297897,1481,1392.5,1302,1321.5,77.3617869486998
"2027/2028",2028,120,120,100,31.1504635663491,173.658668664972,98.9978117448108,44.5796469933526,95.4718417920766,1131.27676136834,875.5,777.443026470108,1023.5,834.5,925,827,63.4105381435552
"2028/2029",2029,121,121,100,38.3486925672929,232.597067230248,69.7708393345828,54.6596575155125,94.024652233602,1458.46114481307,1125.5,988.302142269375,1220.5,1173.5,1125,1038,73.4720751258005
"2029/2030",2030,120,120,100,36.9142428249775,224.867777830194,83.9135574647617,51.0308724376389,96.1745489269058,1363.86532783332,1093.5,963.830088805451,1211,1079.5,1102,1043,73.722398150825
"2030/2031",2031,120,120,100,39.5518724764685,237.863633930696,74.1013813086017,51.5812949369992,90.9302643061721,1577.1223295677,1346,1219.29382350844,1422,1336.5,1175,1271,76.7327196791525
"2031/2032",2032,120,120,100,42.858253324643,258.707616538042,69.035117702722,52.1050538614022,91.6450941293269,1624.42288283688,1404,1301.3665816459,1458.5,1419,1231,1356,76.6540605838745
"2032/2033",2033,121,121,100,31.1708230443436,200.621939224332,91.7225826173186,42.2876234279285,92.6381496230715,1187.28111639584,973.5,856.62634339658,1085,939,934,910,68.3822648392702
"2033/2034",2034,120,120,100,29.7469307932692,190.055088641166,77.9718328197062,45.178789944324,88.8709841707855,1291.10001989745,977.5,835.149048808391,1007,1050,996,880.5,64.3522361405326
"2034/2035",2035,120,120,100,26.0934241271663,184.869357754798,90.0856762285128,40.8082188263116,92.0197835577163,1147.64778050012,880.5,766.450880834651,978,895,888,822.5,64.5284899602557
"2035/2036",2036,120,120,100,39.2502968353378,226.664965530801,86.4921996401478,53.144064108272,95.7498395561407,1392.83502859992,1175.5,1041.09710431263,1286,1132,1107,1118.5,72.6295230941014
"2036/2037",2037,121,121,100,48.7009501077124,232.109492529095,83.9992484642329,62.3948100454563,97.0946184018242,1484.03935727599,1197.5,1093.03343979527,1318.5,1191,1150,1159,75.9934140244741
"2037/2038",2038,120,120,100,32.7569899891959,203.014655840856,86.9809912938285,45.1369182494917,90.8880325542388,1238.23957227952,1014.5,912.340816426484,1100,1013,921,956,68.3322560160987
"2038/2039",2039,120,120,100,42.4084911725049,245.02297408297,82.7777640847299,61.6355319703477,99.6689682465302,1495.33077749575,1195,1023.6010404368,1383.5,1142.5,1257,1127,77.0788311549932
"2039/2040",2040,120,120,100,30.6353012624898,180.50480633998,84.3608828816573,44.8942078809116,93.5922412297872,1331.38434523389,1057,923.745777479548,1175.5,1047.5,1077,982.5,70.0450590322625
"2040/2041",2041,121,121,100,40.696187879496,234.230345568036,82.9891656390047,55.1301371921626,98.2909222057195,1502.7107781916,1242,1115.85243252022,1388,1199.5,1216,1184,75.0618411596042
"2041/2042",2042,120,120,100,24.4561777106057,157.524852056287,101.584344367954,38.4945912416011,92.471041069318,1044.87906167289,768.5,649.60310934751,916.5,738.5,879,695.5,62.2668686057832
"2042/2043",2043,120,120,100,30.6520632208031,152.978270604494,98.9060869938754,42.1426034501796,88.4731358046577,1189.91992952429,985.5,851.766911182967,1056,985,976,910.5,61.8746001482987
"2043/2044",2044,120,120,100,41.9911560475772,258.584646264677,75.2818640623422,55.1647149171365,94.7180076613788,1522.04343145933,1263.5,1089.85438888707,1372,1216,1262,1155.5,73.3518898892862
"2044/2045",2045,121,121,100,28.0977123110573,180.944647142603,87.4278101527308,44.3641294151463,96.0073445426234,1196.88356378867,925.5,776.691911791087,1033,916,965,850.5,67.175878417378
"2045/2046",2046,120,120,100,36.4639347231884,216.267075854887,71.7467474984724,51.1063423906174,90.0801270800952,1390.73315371366,1127.5,974.86588680416,1132.5,1189.5,1047,1043,68.650191065859
"2046/2047",2047,120,120,100,28.4254678765319,189.937551978967,90.3101551898252,40.9995150237151,92.008977180565,1215.06983753371,984,892.887555028872,1084.5,965,913,927.5,68.4868965931864
"2047/2048",2048,120,120,100,31.3120729057709,201.96517014958,91.7441833581578,44.1335729974103,92.2020338439596,1275.94730203338,1075.5,956.718369761868,1168,1037,1031,1018,72.5928953474167
"2048/2049",2049,121,121,100,30.2073758448314,206.410243218431,79.9796302647105,44.9465420066689,93.8697764171434,1341.37957075876,1072,952.613739025815,1157,1095,1002,1010.5,70.4773894531427
"2049/2050",2050,120,120,100,36.4436244658282,236.684818706769,75.7695723897136,54.2947524947091,97.7433900988649,1495.11448515924,1248,1082.18833110515,1361.5,1214.5,1203,1176,77.302300585734
"2050/2051",2051,120,120,100,33.0084124626551,225.120383560385,73.7085876290818,45.4658146725033,92.8086111936483,1341.65535553449,1083,970.533019761424,1177.5,1101,1025,1020,71.9299503299526
"2051/2052",2052,120,120,100,41.3750524056908,233.472493694061,78.7415921373429,58.0751625973574,97.4478612647259,1515.29116854871,1272.5,1143.33441060673,1397.5,1237,1206,1216,76.2649942428907
"2052/2053",2053,121,121,100,32.488699180745,189.732658316641,89.6707011278198,48.9399495895897,99.7111531921218,1342.07031455068,1061.5,913.934523996839,1229.5,1014,1124,999,71.3470491626995
"2053/2054",2054,120,120,100,35.1454828781502,192.308388047733,89.2598870872851,47.4048099670307,95.798844989659,1262.13626794249,961.5,866.097271017112,1121,950.5,988,916.5,70.0381722762613
"2054/2055",2055,120,120,100,38.9711212875943,221.685246728429,88.062482366267,56.9870008651003,97.5963913784255,1486.72674783002,1175.5,1033.83820172265,1347.5,1147,1245,1118.5,74.8714285139831
