"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.7572342406559,174.213103833902,96.9080176203919,44.0279691614611,89.3545539039555,1279.49354944345,1084,939.882267808362,1166.5,1053,1019,1009,69.001383069156
"2002/2003",2003,120,120,100,38.4753845722817,198.494432103158,90.0202719623639,52.7381446521217,99.1520667379153,1316.72633587307,1048.5,921.864713325317,1217,1008,1069,1000.5,72.5449874044493
"2003/2004",2004,120,120,100,38.532221783531,254.43480464623,75.7480418221505,55.4552318298934,96.6698320498055,1481.47116314226,1176.5,1004.33875288887,1345,1115,1216,1067.5,74.4740496843
"2004/2005",2005,121,121,100,35.6032732323822,217.263502815191,79.547714741359,51.4372208320953,94.661702041383,1406.09334843411,1170.5,1026.40478706332,1259.5,1144,1091,1075,70.688980171396
"2005/2006",2006,120,120,100,32.1743482969027,203.160527433787,93.2168762138461,41.7176319472075,89.5926685849158,1395.66589037241,1199.5,1075.09022795874,1279,1205,1101,1160,70.3023768956978
"2006/2007",2007,120,120,100,39.8755554854775,241.69336988913,75.4019549552658,51.403626535019,92.8217420565193,1519.01976331584,1298.5,1130.83814150684,1386,1257,1203,1193.5,72.5390454790073
"2007/2008",2008,120,120,100,29.8484919434934,183.448258250022,93.3786901418586,44.3351964383068,92.9705469092477,1216.69459665771,1007,930.258068447728,1109.5,985,893,973,69.2779398793283
"2008/2009",2009,121,121,100,38.7412213277194,233.001676119552,76.2980363311418,45.8430003867585,87.1014988637886,1351.30375436131,1107.5,963.833685490896,1109.5,1168,1025,1017.5,63.9107197842621
"2009/2010",2010,120,120,100,29.4392279884837,164.242028429744,94.3073846891986,44.1369028589562,90.9580960470792,1146.07091199422,819,662.119823956235,927,848,964,728.5,61.9970767409957
"2010/2011",2011,120,120,100,32.0027028143828,197.03020741162,91.6922151131625,43.2986221465531,91.6905792462722,1322.52862202461,1143.5,995.415678561161,1221.5,1098,1051,1075,68.3308146556385
"2011/2012",2012,120,120,100,27.3313006584606,174.918593063399,99.4660509453521,41.4826099118558,90.632637961859,1166.68273232719,924.5,771.749753657186,1038,891,952,836.5,64.4439123745033
"2012/2013",2013,121,121,100,35.1264215342282,207.497313742561,86.8298235313634,47.603466146655,90.098702479728,1383.04361366208,1115.5,952.339677119468,1179.5,1138,1130,1030,70.890014395404
"2013/2014",2014,120,120,100,44.9094407189543,230.797103671013,88.5139912142801,58.3179111368128,96.755801724884,1435.5566165817,1192,1072.24895632546,1320,1157,1184,1151,73.1376733181855
"2014/2015",2015,120,120,100,34.6787357638707,208.064997324672,83.9970432230914,51.8333638149867,94.0980409818565,1278.2812198864,1052.5,916.949440242855,1161.5,1021,989,981,70.7150085561852
"2015/2016",2016,120,120,100,40.8150763855017,208.635207296108,88.8701612986301,57.3248270108225,99.1921099950347,1407.56861313669,1146.5,1000.3068594392,1306.5,1095.5,1201,1084,75.2303901876714
"2016/2017",2017,121,121,100,39.1987790447083,200.479393944574,78.0124123566143,53.0228142448153,95.9331598491879,1444.46858908895,1192.5,1062.72590194912,1291,1188.5,1152,1118.5,72.6052887819433
"2017/2018",2018,120,120,100,35.5969942957488,201.828611548957,91.1924568097866,48.1042662511774,94.2791966525639,1287.19771357054,1051,909.69550488624,1178.5,1013,1067,984.5,70.1490778451459
