"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.2561620886021,190.78991130198,85.905226979331,44.9462820919915,90.6479919397206,1334.80812327688,1128,988.692141684747,1194.5,1126,1020,1062,70.1749811127495
"2002/2003",2003,120,120,100,40.058788662358,230.745426548293,81.337410601526,56.7819700216592,99.655298237011,1397.72636732632,1157.5,1047.72000295583,1285,1113.5,1123,1100,75.6450287266985
"2003/2004",2004,120,120,100,42.2681646542511,289.951238826831,68.0383629395264,57.7584928849641,95.3332258385568,1581.7836632212,1298,1094.43190943976,1418,1268.5,1291,1190,77.0980098947789
"2004/2005",2005,121,121,100,39.811009761994,255.124272183626,71.4175863804584,52.6949975761713,93.3554328122248,1489.98377553895,1253,1104.81886017585,1318.5,1236,1162,1150,70.0768595914514
"2005/2006",2006,120,120,100,34.0154777700808,228.865241387476,82.156609065845,44.0654610315729,91.2206161113376,1480.86305722105,1280,1149.64198657562,1355.5,1269.5,1176,1220,72.7581216112155
"2006/2007",2007,120,120,100,42.231295626213,279.94083985213,67.4677527480701,51.2130812104106,91.4597011263177,1620.80416941932,1392.5,1222.54962411074,1456,1383.5,1271,1298,76.2019838100526
"2007/2008",2008,120,120,100,35.5662924152119,219.064495771637,82.3030001423354,51.0277497420199,95.5546221881764,1313.29796010877,1071,999.935167531488,1207.5,1048.5,986,1036,73.4164109433755
"2008/2009",2009,121,121,100,35.0238385657135,248.4994100423,67.8067004555346,42.0177221235156,86.3163969873495,1381.08065402404,1148.5,989.16794428971,1127.5,1218.5,1030,1050,63.5400840421822
"2009/2010",2010,120,120,100,34.6445405794625,199.092460819033,83.8832142239451,49.0884987560251,92.8867690505479,1253.57503696489,905,766.750928346764,1001.5,944.5,1053,819.5,67.0041177084302
"2010/2011",2011,120,120,100,37.4824680690138,234.385543273538,82.2098096007315,48.4245920507225,92.9544501626176,1455.34259273544,1243,1103.72928988721,1325.5,1216.5,1154,1189,72.3359452353084
