"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,29.1336322643223,179.904450971814,78.7175116046451,41.4287308911616,88.2868090491711,1348.06706580435,1101.5,995.511318925731,1133,1165,996,1046,70.4077053767625
"2002/2003",2003,120,120,100,39.8330131692809,238.373553874473,74.5615190915719,55.4338444031081,96.966158508484,1516.31561173545,1286,1172.50718590083,1396.5,1243.5,1145,1217.5,78.2190681019836
"2003/2004",2004,120,120,100,44.2078037313979,281.988141613042,62.4325130671937,54.8523548144004,90.6729889334388,1686.51411282072,1426,1212.33762490059,1473.5,1443.5,1379,1309.5,74.5731434748894
"2004/2005",2005,121,121,100,37.1774627093217,247.034733573899,65.414482206422,47.2245660013334,88.813587868488,1544.8810407821,1299,1141.55600923336,1297,1330.5,1135,1197.5,72.864825276789
"2005/2006",2006,120,120,100,29.8189682285013,202.880003191697,74.9851064806922,40.3061974187274,89.232271952297,1513.28248940165,1307,1194.46466610176,1307.5,1328,1123,1249,72.1502701584445
"2006/2007",2007,120,120,100,33.7372085036745,250.909554354831,61.8584023578211,41.3784702553943,86.4687917905125,1652.38952055565,1455.5,1295.04810817283,1439,1506,1251,1379,75.7543560278767
"2007/2008",2008,120,120,100,37.9422650188898,235.878164112425,75.2547407101533,52.4176191362024,94.2641722847129,1415.20632991398,1208,1073.75765889814,1294,1170.5,1062,1131,75.8955660632599
"2008/2009",2009,121,121,100,29.3643793144282,227.488298394668,61.8727068661875,38.1511342005015,82.8821433532201,1387.19346514308,1109.5,947.108076541945,1018,1232.5,1005,987,66.7478415987821
"2009/2010",2010,120,120,100,36.9608884301089,214.74574005474,76.9085272097275,50.1858220426207,91.7505558839404,1353.79004388659,993.5,834.400844544049,1025.5,1073,1100,907.5,67.3138672604535
"2010/2011",2011,120,120,100,36.1035088526487,237.811783127418,75.2083364640109,46.1675104631076,90.9611528559448,1556.87130533484,1319,1187.11976364144,1390,1317,1204,1259,74.2704391093921
"2011/2012",2012,120,120,100,33.7281906832014,206.985603454652,80.2170507734158,46.8625333071104,91.8532346056952,1342.42277491002,1035.5,914.036280003746,1136,1069.5,1071,959.5,66.995858727824
"2012/2013",2013,121,121,100,35.009236427569,224.444390420482,70.9927700732192,46.2067547889433,87.2922863228133,1466.23759763113,1186,1035.33146298796,1162.5,1302.5,1094,1118.5,70.716294659446
"2013/2014",2014,120,120,100,42.3693213205848,260.892277343158,72.4884109599168,52.7417064058889,93.7456202464831,1552.32638730052,1359,1253.85072188987,1425,1327.5,1168,1304.5,77.1660121158254
"2014/2015",2015,120,120,100,41.0153172453363,258.386906793241,69.079745589934,52.8240079605805,90.3134979734571,1408.26875246678,1154.5,1002.1257639053,1210.5,1170,1057,1042.5,71.2892927972921
"2015/2016",2016,120,120,100,45.0109568106083,253.501175936386,73.2609699723642,58.6614322985741,96.2282003507844,1600.76844034599,1370.5,1241.89627866153,1457.5,1346,1232,1305.5,79.6686139918897
"2016/2017",2017,121,121,100,39.2998056715093,234.243815999679,64.3095553254971,50.8762934944329,90.3064239189802,1544.49006104416,1276.5,1157.12023256277,1298.5,1319,1163,1174.5,72.9943680278134
"2017/2018",2018,120,120,100,36.4311779751923,233.054054655618,74.412092437995,50.6270682768976,93.5028645777758,1459.96910746792,1202.5,1056.9875740684,1293,1199.5,1157,1122.5,72.9384311514291
