"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.5654680951493,172.893752594479,79.6583564690102,42.7518942655576,87.7885035695754,1401.28073756676,1133,1023.03489991574,1171.5,1211,1055,1079.5,70.1103144446608
"2002/2003",2003,120,120,100,40.943115049915,232.829329696471,75.3350740115423,56.6018101658634,96.6649109585611,1583.65991001717,1317.5,1216.24019969378,1455.5,1284.5,1203,1255,78.6218579826905
"2003/2004",2004,120,120,100,40.885028547061,255.509101038766,63.3435257582356,51.9563720050936,89.542486825856,1709.82568116033,1442,1227.86984443988,1477.5,1487.5,1352,1346.5,73.7646604081423
"2004/2005",2005,121,121,100,37.0358195989555,222.737582135183,66.3301738446055,46.2591889115178,87.7828382611668,1562.14749138944,1332.5,1165.48887369043,1315.5,1358,1181,1218,72.3322021986741
"2005/2006",2006,120,120,100,26.785413405469,173.426670084941,75.8836663489773,37.1410029191673,88.024612606587,1506.25401445405,1302.5,1203.99043436429,1296.5,1336,1092,1242,70.5976502165432
"2006/2007",2007,120,120,100,31.9968224312749,218.986272039855,62.7147338935885,39.9107751432018,85.3966979886193,1643.96123107819,1444,1298.47617615065,1417.5,1493,1223,1356.5,74.5636203771093
"2007/2008",2008,120,120,100,35.7014660487598,220.778844221727,76.6566790804464,49.731646126635,93.3544203024503,1437.56758228105,1226,1072.86386746753,1324.5,1183,1116,1129,74.0667865143386
"2008/2009",2009,121,121,100,25.6551814916445,193.305367367777,63.1757924245843,34.7028013146427,81.215352112849,1375.58641835234,1088.5,937.865217966268,977,1248,994,984.5,65.6773668156528
"2009/2010",2010,120,120,100,36.9311061020758,196.41435510251,78.1063831101654,49.0974887085229,90.3229170612098,1409.56787726372,1066.5,877.292321158269,1072.5,1157.5,1150,977.5,67.3142656026783
"2010/2011",2011,120,120,100,32.1868431844894,206.782802835852,76.4171919323954,42.362351285849,89.1656410701659,1525.89407660529,1307.5,1185.59583377965,1358.5,1318,1161,1236.5,74.5326414755091
"2011/2012",2012,120,120,100,34.1885154125311,191.386931408091,81.4258449837065,46.5288688573515,91.0616669200823,1393.53882909922,1107,955.224094550776,1187,1141.5,1109,1024,68.8084735301857
"2012/2013",2013,121,121,100,34.3918445698214,200.630805764218,71.8192422547467,44.0664619328641,86.2332877328742,1493.78366157199,1234.5,1084.31584774466,1178.5,1360,1106,1168,69.2291648646153
"2013/2014",2014,120,120,100,41.313240725616,243.925956389025,73.5710516863808,50.5408034155979,92.6872992407832,1593.91981249461,1394.5,1307.52402385427,1485,1372.5,1194,1348.5,78.1071166491299
"2014/2015",2015,120,120,100,40.5349700449701,242.064029281945,70.3188846064144,51.9095280750585,89.476051564504,1490.45592512574,1240.5,1072.34019245368,1273.5,1275,1130,1140,70.6195486322047
"2015/2016",2016,120,120,100,43.5275469669226,234.776075981049,74.1951816809584,56.5674518733486,95.2452486126273,1640.31587987723,1410.5,1291.36914307285,1489,1401.5,1253,1357,78.4020103243124
"2016/2017",2017,121,121,100,39.0700350695015,220.470091566855,65.0305295943849,50.4800355701442,89.5240711883431,1588.13749761412,1298,1198.94013070525,1323.5,1381.5,1159,1231.5,73.2642965153095
"2017/2018",2018,120,120,100,35.6530356313407,214.384809057396,75.7576606374314,48.4241867813888,92.2820922576343,1494.73132253084,1240.5,1086.5920775332,1315,1241.5,1168,1159,72.4636930312199
"2018/2019",2019,120,120,100,33.8295742585823,213.223748463767,80.4999715775385,50.480838447342,94.5501644978491,1349.46059982086,1062,935.054605923044,1185,1061,1050,998.5,69.7394577490525
"2019/2020",2020,120,120,100,39.2849169619346,206.87095994888,69.1727810457517,49.6988802337983,89.9666868122552,1618.57408790336,1393,1243.36729830458,1415,1418,1253,1305.5,74.8373534749128
"2020/2021",2021,121,121,100,28.3817588976423,182.184357947352,72.4194526904526,38.6202458145412,87.8859770479019,1470.01368065635,1247,1161.887917503,1234.5,1332.5,1013,1212,71.9181396895315
