"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.6639982972244,180.306878778061,78.1707233023766,43.039274801067,87.9660234726853,1390.67235275028,1129.5,1025.89066084243,1172,1212.5,1040,1081.5,70.0762873958123
"2002/2003",2003,120,120,100,41.2423749052776,241.340621553915,74.0275788849592,56.6743388586802,96.6292002036508,1568.66856916351,1307.5,1207.48446033816,1438.5,1282.5,1190,1252,78.3068728981903
"2003/2004",2004,120,120,100,41.0548111548197,266.82090376051,62.17102523087,52.1008884683373,89.5888516487478,1695.72492031135,1432.5,1213.19492023303,1460,1467,1330,1328,74.2671372697548
"2004/2005",2005,121,121,100,36.8342258595993,235.153379519001,65.188742760632,46.1563871808282,87.7713547913233,1553.57097741073,1311,1147.9667559373,1310,1347.5,1184,1206.5,71.9402184621305
"2005/2006",2006,120,120,100,27.0339036774561,187.343410238359,74.6730672859167,37.5495928536852,88.2342995568749,1504.30363741848,1298,1199.2420345098,1293.5,1333.5,1087,1242,71.3969707768831
"2006/2007",2007,120,120,100,32.1975804334496,233.908278325981,61.6006533966949,40.0486020305639,85.4879694483367,1643.62696432392,1448,1289.57963823747,1422,1500.5,1243,1364.5,74.1459523355109
"2007/2008",2008,120,120,100,36.238905885916,230.206253866225,75.1077695755236,50.3662404779664,93.6215513232799,1416.12639013492,1208,1063.09414571723,1305,1166.5,1086,1115,73.4421300078125
"2008/2009",2009,121,121,100,25.822586784259,206.780066850681,62.0855346646097,34.8699849898168,81.2516621523183,1363.16325094025,1077.5,919.423090126178,958,1226.5,976,961,66.6876923230626
"2009/2010",2010,120,120,100,37.2770911751797,207.220999374193,76.8174234346025,49.2640749183264,90.5298283141165,1392.9875538392,1058,873.409091823034,1057.5,1140,1136,967,68.0383495452883
"2010/2011",2011,120,120,100,32.7802956713887,220.838946210015,75.3353526001852,42.7671938818757,89.2506059641772,1525.68156268034,1296.5,1180.15992564431,1357,1327,1157,1243.5,74.8399833080387
"2011/2012",2012,120,120,100,34.2549599427218,202.649178475247,79.9112143982396,46.841245969951,91.2826929875771,1379.55056646397,1094,949.849793550573,1170.5,1130,1088,1011.5,68.8878765928271
"2012/2013",2013,121,121,100,34.4031475450173,214.134582992093,70.597605297895,44.1617418274967,86.3451166900721,1481.80262505784,1210,1058.98892923837,1160.5,1327.5,1097,1133,69.1947393802022
"2013/2014",2014,120,120,100,41.586845324566,254.058347252751,72.2503744550325,50.81226816098,92.7710936185609,1575.28978974396,1369,1283.75284626091,1455.5,1355,1179,1328,78.7939397061905
