"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.5020320639975,177.146386907968,75.2173425022783,45.2873092204379,86.9535458010045,1451.53295494096,1229.5,1073.94982020245,1222,1301.5,1069,1154.5,68.7813743771002
"2002/2003",2003,120,120,100,43.6066340901009,237.387770960852,71.8026663062266,56.3017589057764,94.4101571825896,1658.37518099063,1400,1285.19464014608,1520.5,1365.5,1282,1323.5,76.6278422617425
"2003/2004",2004,120,120,100,33.4138556230633,221.027553591271,60.5017796337392,45.3639415089101,86.5115452035106,1633.90474796603,1360.5,1192.44238746691,1366,1449.5,1227,1260,74.5481825036498
"2004/2005",2005,121,121,100,33.9646273863535,196.956938046316,63.2538533402965,41.693706956372,84.6796334545876,1517.92690372652,1299.5,1128.42219462587,1235,1374.5,1084,1196,69.3031073636097
"2005/2006",2006,120,120,100,24.8947413532049,159.019566945138,71.9219099256212,35.1399952626742,86.3695491283671,1472.00843006547,1271,1218.09903824091,1250,1344,951,1243.5,72.4181256854945
"2006/2007",2007,120,120,100,31.0158854561169,199.881007334725,59.5544273407479,38.7609404288895,82.9025266798648,1615.45689016587,1423,1267.51859093763,1354,1495,1136,1327.5,72.9935568547149
"2007/2008",2008,120,120,100,33.390957376577,217.322539162902,72.829552727645,48.1105810991667,91.9990818181065,1430.82532799536,1257,1084.07947352639,1324.5,1205.5,1102,1136.5,71.4602586214864
"2008/2009",2009,121,121,100,20.6219298001248,153.21378165822,60.7829086431073,28.7788897679884,77.4567099018766,1246.84295471645,931.5,801.610720208657,771.5,1162,770,837.5,62.3847191636204
"2009/2010",2010,120,120,100,34.8913967101124,188.317234399993,74.6717545593302,46.58192700912,88.2101122057671,1444.27137876567,1127.5,963.125247463504,1101.5,1225,1175,1034,69.3985968249174
"2010/2011",2011,120,120,100,27.8419834941378,176.490840709385,73.6295540074384,35.8058540447322,85.1320825524343,1467.29382393467,1297.5,1205.12290229493,1293,1346.5,991,1249.5,71.9902667746509
