"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.3868490825668,22.2440190571416,70.3308031362491,31.7775121505466,76.3099381435818,1327.84244636626,1168.5,965.874912666652,1027.5,1253,862,991,58.9254817163703
"2002/2003",2003,120,120,100,37.2125528412698,57.9640901502612,67.2821014835345,43.3368875768572,81.889366751844,1772.0234543043,1696.5,1542.09072837411,1594,1727.5,1223,1629,72.0770841393583
"2003/2004",2004,120,120,100,19.2149698753541,49.1631717296926,56.3253356983048,22.1660492943218,70.4568044800524,1334.40482578747,1207,1125.98153287709,996.5,1397,614,1065,65.9735812163869
"2004/2005",2005,121,121,100,22.5310154953617,38.4067168905144,58.2923651890147,26.3494165475579,70.8636613161565,1226.63213208404,1104.5,928.505413509452,887,1228.5,646,902,58.9118074938823
"2005/2006",2006,120,120,100,24.8669193457104,18.1606679960287,65.9447256640361,30.4080692593195,74.9282582307835,1319.86871983569,1313.5,1084.60340576788,1145.5,1309.5,798,1110.5,60.6980006682417
"2006/2007",2007,120,120,100,19.6642017103194,20.8506255987048,55.7528644094899,23.0369234124668,67.6329998175302,1113.61837073749,1063.5,816.44881881668,817,1141.5,640,781.5,57.3260280958261
"2007/2008",2008,120,120,100,29.3317019733685,34.6453151107572,68.8967704205276,34.9842141570847,80.4201753564956,1534.47486000618,1489.5,1455.72843823722,1441,1529.5,936,1431,72.6246448798749
"2008/2009",2009,121,121,100,18.1494043389363,21.7205788981365,55.1947506398129,21.5712785314755,64.7516471669191,1040.30100601686,745,484.044934980513,440.5,1032,600,519.5,47.7243397435325
"2009/2010",2010,120,120,100,30.9794709306708,30.8118098632538,68.1395599193074,38.657910567094,79.741884187472,1599.87930331713,1383,1315.59670911157,1285,1520.5,1070,1293.5,73.6645200832126
"2010/2011",2011,120,120,100,25.3396770999154,47.6083713213707,65.7461621865554,31.1689062185733,77.7499425632284,1431.70031044462,1376.5,1264.27479755993,1286,1433,845,1274,70.2438889002387
"2011/2012",2012,120,120,100,33.6338482293546,34.4753991289216,72.2030420418852,40.999889993102,81.1821432661048,1585.92874612138,1400.5,1288.28692106606,1298.5,1522.5,1005,1313,68.2516616587615
"2012/2013",2013,121,121,100,20.7963126228621,29.2440015380234,63.8712633084561,25.5419943808169,71.5769941756423,1179.45781332295,1001,817.693446043628,695,1153,634,791.5,56.146081129903
"2013/2014",2014,120,120,100,30.2124659750831,66.3632913574459,65.6605376824071,35.7951428485941,79.3412379149031,1507.9834243871,1486.5,1325.11727200052,1431.5,1493.5,982,1371.5,71.528268315559
"2014/2015",2015,120,120,100,24.1898725024569,30.327537757427,63.4711746775326,28.9339687888417,74.3347607442683,1325.17979442584,1230,1101.67442423607,1130.5,1330,759,1094.5,62.2084379849887
"2015/2016",2016,120,120,100,32.2334614406736,48.1502272340201,65.854105709026,37.3841757462903,79.9364424528614,1609.95135122761,1628,1524.09047431935,1514,1630.5,979,1523.5,75.151324240685
"2016/2017",2017,121,121,100,23.5855778833133,19.851606269978,57.9356820351945,27.2552293417061,71.0038010844474,1272.34631694401,1233.5,1070.49147332847,1006.5,1329.5,675,1055,61.1373503939706
"2017/2018",2018,120,120,100,31.6351480680801,41.1467880331453,66.9078316746146,36.4770187506351,78.990941171831,1664.03720539011,1548,1470.5388296302,1428,1672,1011,1492,74.9521034628258
"2018/2019",2019,120,120,100,37.1137007701263,37.2206634684255,72.3996904610992,44.5596264238375,83.4809165207704,1768.7317009551,1642,1552.68043126243,1585.5,1694,1258,1589.5,75.9790177791415
"2019/2020",2020,120,120,100,28.7091611261158,46.9341546681473,60.9357458003081,32.7928653122387,74.4305362259108,1428.75405563397,1296.5,1192.9422031475,1104.5,1449,783,1177.5,68.2167820127422
"2020/2021",2021,121,121,100,23.7834911310161,38.2454702843243,63.6400202315263,30.6042395434103,73.9146756433125,1299.15426887273,1077,849.980956542066,989,1224.5,846,855.5,57.5006189533703
"2021/2022",2022,120,120,100,29.6741729823917,32.1738851227266,67.1713021703177,35.1081114418552,75.1248311713717,1484.42120133191,1190.5,1106.02405765621,1000,1468.5,936,1125,66.3026558446634
"2022/2023",2023,120,120,100,26.0079198668801,46.9809360492737,75.4237778836057,32.9145759033703,77.942515136479,1339.57585424041,1159.5,1041.28053452693,1093,1273.5,853,1050.5,61.1274825671123
"2023/2024",2024,120,120,100,25.2610284322037,12.8826790326266,59.1749011405318,29.2328970538716,71.7427230854853,1366.13187390344,1266.5,1120.30973640923,1075,1437.5,732,1116,61.6397458347928
"2024/2025",2025,121,121,100,31.6544402234367,57.8506362235713,69.6770197949586,37.8142323193137,82.7498222921246,1640.66606448169,1606,1596.95379477101,1539.5,1626,961,1583.5,74.9794442850271
"2025/2026",2026,120,120,100,32.7784866939566,53.1372354976668,67.0560252935611,37.0038690496941,78.4549861615021,1487.14569861988,1414,1313.38062202528,1314.5,1483.5,880,1312.5,67.6846002718344
"2026/2027",2027,120,120,100,20.5157883245325,53.3759182331101,55.1171937093629,22.9535198300188,67.957225808215,1132.9167996246,977,750.246695510468,804,1148.5,637,746.5,56.5951029502153
"2027/2028",2028,120,120,100,45.0268633723051,58.3907355680412,77.5378394409875,53.9971824728779,89.7355169290524,1917.31764229294,1882.5,1697.04691475099,1866.5,1817,1469,1777.5,82.2155577743292
"2028/2029",2029,121,121,100,22.3881888952865,25.0186422111909,55.5786535993209,24.5772178244647,68.1961855258036,1259.35702913305,1126,946.551609324517,848,1327,681,921.5,61.4347458085203
"2029/2030",2030,120,120,100,31.6849794569003,29.7700722932889,67.2312802640031,37.7655762801903,79.2740413111286,1499.99298735716,1422,1307.21266685983,1265.5,1467,938,1295,70.2467169330266
"2030/2031",2031,120,120,100,17.2183958718678,34.6172909018689,57.9630412658913,19.8177828307092,66.3139620347293,1019.29080962366,781.5,623.94690793741,572,1059.5,453,592,53.8081213310206
"2031/2032",2032,120,120,100,18.9561473029318,27.4184310726628,55.1157199196235,22.7961270775717,67.4721811492975,1103.93692721918,1054.5,761.594063691518,802.5,1102.5,615,761,52.5531999131681
"2032/2033",2033,121,121,100,30.9364798200724,45.5475238074246,72.5111752180386,38.7839382305796,81.9511706969344,1559.87441762211,1391,1211.36487314297,1300,1455,1064,1268,67.4577376862462
"2033/2034",2034,120,120,100,19.8982187485677,13.7955576129718,61.4353569217782,24.7084378965888,69.9000646852871,1230.67352883755,930,850.514658937027,663.5,1243,617,820.5,58.0589123603127
"2034/2035",2035,120,120,100,31.8448773837433,32.2419188402755,72.6116837186187,39.097938192247,79.3693212924708,1546.13090571374,1316.5,1178.7592165018,1195,1465.5,1058,1198,66.7244421938976
"2035/2036",2036,120,120,100,26.6306280253315,32.0966793615714,69.0419343510041,32.8001854181399,79.2771921415411,1476.43256664203,1375,1335.16906310145,1315.5,1462,802,1314.5,72.3555554475124
"2036/2037",2037,121,121,100,28.2444455254237,46.1124198199924,66.2737154673401,31.7149280055991,77.4683087998237,1475.78917148231,1472.5,1406.57756817406,1306.5,1517,797,1359.5,71.869306029007
"2037/2038",2038,120,120,100,22.9974684676582,39.7088205422612,70.3365638144979,30.421350981173,76.8948812299643,1315.34205720844,1085.5,975.988453209444,1036.5,1231.5,793,970,61.4915546412994
"2038/2039",2039,120,120,100,26.998699565625,34.0144422304714,65.3931308939401,32.7329293907335,79.6364464282017,1665.95659725588,1587.5,1613.2568310551,1486,1674.5,926,1571,75.4912940510012
"2039/2040",2040,120,120,100,35.0916143827136,41.4824466820206,64.7719676403645,41.2565083353736,77.4249826572871,1534.73279674296,1395,1160.53011197796,1284.5,1475,1122,1253.5,65.6968854511601
"2040/2041",2041,121,121,100,32.3906080811349,44.6023951721499,65.3646213551753,36.5896906583272,79.0237492879963,1565.65204606812,1604,1468.03983642624,1484.5,1596,978,1472.5,72.1322066839762
"2041/2042",2042,120,120,100,41.0276829227322,50.7895717954787,78.0037193057365,50.005882781737,86.6581127138361,1802.09471990692,1663,1539.44331003859,1621.5,1708.5,1322,1593,76.8388062990271
"2042/2043",2043,120,120,100,24.2699694587339,20.435926718238,76.964279007336,34.3536403970829,79.4251396984702,1336.25564103291,1055.5,915.99708524943,1009,1168,936,899.5,62.0809788122538
"2043/2044",2044,120,120,100,24.6990494274586,51.3692972457442,59.3012168435532,28.695608398662,74.1167275075103,1426.71343130493,1390.5,1294.82563145809,1234.5,1493.5,782,1276.5,68.3539947299923
"2044/2045",2045,121,121,100,34.2799525306076,17.1443386729483,68.4663966079949,40.6096879760078,81.8367895978473,1769.62863322115,1609.5,1568.62205371527,1478,1747.5,1098,1553,78.1772056047989
"2045/2046",2046,120,120,100,16.972714249539,9.4519160652868,57.2942008541754,20.0301322201182,66.7121938414307,1100.61248240116,937.5,815.953367905633,641.5,1136,461,747,54.0347100372501
"2046/2047",2047,120,120,100,33.9473249347305,32.3249768574276,71.6151221703051,40.8947938482703,79.9519438519834,1549.16293877122,1425.5,1235.56189871862,1353,1512.5,1081,1313.5,64.7833511865801
"2047/2048",2048,120,120,100,25.6855128013424,53.9827113262799,72.5665096817513,34.3105615001356,80.763029372418,1416.52813063067,1303,1178.0167584766,1287.5,1331.5,950,1163.5,69.2420599750894
"2048/2049",2049,121,121,100,26.3977155388857,25.2725090003213,63.209829945839,33.561324668665,75.19988540868,1470.29517740494,1223.5,1084.61570102903,1059.5,1450.5,917,1091.5,64.7800201381033
"2049/2050",2050,120,120,100,26.940011765192,36.9496693463672,60.4903823901702,30.0012797201789,75.7028229112284,1550.71483268817,1524,1516.98189170849,1393.5,1629,844,1480.5,71.0221469650687
"2050/2051",2051,120,120,100,22.2415177466474,21.4372513760764,59.7535346170657,27.7366716867286,72.1068631065657,1346.51889874344,1199,1071.09953219238,979,1378.5,724,1050.5,63.5340169691262
"2051/2052",2052,120,120,100,28.494675087666,57.4820544226367,62.5566873893722,33.7542822057647,76.6541260871518,1424.12326866682,1414.5,1257.00411235678,1285,1412.5,814,1233.5,68.1372368230413
"2052/2053",2053,121,121,100,42.9684698441175,56.3722298070556,71.1299197626615,49.5477746639202,85.3530516444645,1937.74745255007,1803.5,1695.24844627955,1720,1886,1323,1752,78.8931190215817
"2053/2054",2054,120,120,100,38.5993187022076,62.8220362209944,69.0550197693945,45.6361827024166,82.2786942959458,1759.57925462561,1577,1393.10868840938,1498,1685.5,1279,1475.5,73.1583621829423
"2054/2055",2055,120,120,100,28.3114992754335,34.4940027897219,68.6845929954453,31.3156692540815,78.8790970496303,1563.87084984535,1586.5,1624.97106490425,1455,1601,855,1524,74.4260417730693
"2055/2056",2056,120,120,100,32.0441659658522,30.2585334074956,66.0910934382354,34.7386930384501,76.0544170670864,1577.97816672602,1487,1452.33796897033,1289.5,1671.5,878,1457.5,70.9167746319899
"2056/2057",2057,121,121,100,31.1852318556281,48.667004318587,74.2996655853537,36.8957238289001,82.1734222603233,1594.14253771964,1495,1461.0100078159,1368.5,1576,973,1451,73.7812583650775
"2057/2058",2058,120,120,100,26.7660846960417,43.360201755029,69.1047260710467,31.3905152511608,75.9610994138246,1403.3713741549,1284.5,1206.8278447475,1140,1405,741,1198,67.1411128052341
"2058/2059",2059,120,120,100,20.6242443524487,32.2915998315656,60.057458295736,24.1738159221541,75.0660270839964,1453.63361750903,1464.5,1568.02333565819,1356,1536.5,646,1438.5,75.3157041371833
"2059/2060",2060,120,120,100,22.9586749098354,48.4585782788771,61.4344589651176,27.2554799913805,71.3702998146611,1340.90819428503,1046,960.085320875922,791,1363,764,953,61.7973840527748
"2060/2061",2061,121,121,100,26.0753529484795,52.5635241261197,58.016576198121,27.3987671974199,72.8464323290013,1367.35788630792,1403,1310.74559261986,1206.5,1478.5,649,1265.5,66.6828363587711
"2061/2062",2062,120,120,100,36.5278982093779,63.5130185385703,74.1322807228869,44.568028247195,84.7371701370279,1619.23264689444,1519.5,1393.82907997641,1477,1515.5,1109,1427.5,71.5501195158631
"2062/2063",2063,120,120,100,29.2139302920065,40.8579230137637,63.6160322242975,36.8617538328573,74.2948488016707,1385.09853694565,1026,745.150522539974,843.5,1281,1004,822.5,57.512185474643
"2063/2064",2064,120,120,100,26.185628129558,50.3204395430663,70.0628717411862,34.0388003541118,78.832528610444,1357.98099419361,1179,1047.38348063352,1089.5,1274,828,1077,64.1440913992919
"2064/2065",2065,121,121,100,25.845669410757,43.8600914105254,61.810938711739,29.7413665546717,75.8871320928676,1463.66060724136,1442.5,1278.72029101464,1278,1472,885,1285,68.1887734405191
"2065/2066",2066,120,120,100,24.505844376708,56.3921057588583,56.9857670457747,25.1257099885063,72.8042323628966,1435.37626779653,1484,1484.40215894036,1274,1556,645,1379,70.3358958681229
"2066/2067",2067,120,120,100,26.9447103692813,28.6792915417328,67.9013625097953,31.6004283315788,77.3820434453521,1457.63364755482,1504.5,1373.21341162836,1334.5,1460.5,862,1336.5,68.3071731445507
"2067/2068",2068,120,120,100,25.815317047647,33.5634797463322,55.921589641494,29.0282510287517,68.03459671381,1301.64538579938,968.5,784.410457713966,699.5,1327,785,825,57.7366571324437
"2068/2069",2069,121,121,100,29.6446539793415,28.950055661387,69.8960562523581,33.6320058152134,76.7334049264852,1439.12653915395,1276.5,1204.26999705323,1115.5,1447,864,1192,66.0137151938534
"2069/2070",2070,120,120,100,16.784217370178,33.2992354787036,64.3634103582098,23.4952737334961,71.0638624123266,1005.28155648403,821.5,566.192699995852,667,961.5,595,542,53.0604897027915
"2070/2071",2071,120,120,100,16.1660741998721,5.87610581541316,69.5238056750079,24.5232898366371,73.0621858034335,1118.02256825546,754,632.934376804275,609.5,991.5,635,599,54.5929668446452
"2071/2072",2072,120,120,100,33.6372272311994,57.1145999231648,77.2682475601476,41.8500622380623,83.5508583819757,1609.27343038438,1446.5,1357.33649031285,1390,1527.5,1048,1392,71.2677008052424
"2072/2073",2073,121,121,100,19.6721176622104,30.5049576493603,59.0843178294147,24.9514651202096,70.9494808071266,1199.66361863358,1091,827.729018709651,827.5,1157,636,828,55.4129216427073
"2073/2074",2074,120,120,100,34.2200768025266,31.0439515668984,67.1509447651962,40.29495622307,80.8930382642045,1706.6668663492,1699,1593.00698291603,1584.5,1699.5,1100,1588,74.839718238668
"2074/2075",2075,120,120,100,12.8770793863075,23.8591046141186,61.997476861925,16.7700712580922,70.9709002672409,1091.9866155482,1099,992.295233339741,927.5,1110.5,480,889,57.4875243242514
"2075/2076",2076,120,120,100,22.8181533030029,26.2889600424554,66.3403875781078,27.3803167156792,75.074252099702,1273.15079028733,1226.5,1116.11577931151,1103,1271.5,686,1113,59.8496399571059
"2076/2077",2077,121,121,100,26.1411838411707,29.7707033647694,70.7952714171805,30.9030865685587,78.7089898466508,1412.48636372041,1434,1370.37121977154,1329,1454,789,1341.5,71.578129665083
"2077/2078",2078,120,120,100,24.618725204973,37.4954739441263,70.6022099075667,28.6349627230026,74.3904652862358,1339.50285355005,1061,1044.97660793876,872,1335,717,999.5,64.5022166858435
"2078/2079",2079,120,120,100,29.0263629107596,52.7568885183054,72.165800480651,38.2120582878852,81.8938755016885,1507.1846383769,1416.5,1222.94734408049,1394.5,1397.5,1082,1251.5,69.2343633917872
"2079/2080",2080,120,120,100,28.7973151750958,44.1408144866529,69.1207621776491,35.4534769871774,80.2530704185826,1530.90040202803,1350.5,1283.58300705315,1263.5,1467,937,1255,70.653570406238
"2080/2081",2081,121,121,100,24.5845047069952,32.0596213654019,78.6902682709319,32.5962500512299,79.03907802741,1350.99005654216,1119,1002.01185856227,971,1264,843,998.5,63.4869022299317
"2081/2082",2082,120,120,100,36.3983582509936,49.3401212888665,63.5961987063097,39.707526095181,77.1412045895084,1670.69079972268,1501.5,1426.35817750465,1304,1702.5,1023,1454,70.6411829609351
"2082/2083",2083,120,120,100,28.9584925992992,29.101152842964,70.3300635936951,38.4268552532126,80.1299709164041,1480.86397803982,1392.5,1175.42825085012,1323.5,1357,1034,1191,64.8491345015245
"2083/2084",2084,120,120,100,24.6936290079978,45.6467869797767,58.7098190764428,28.4284199696372,72.1131608008307,1340.6822993987,1270,1138.42632291705,1070,1379.5,720,1122.5,64.3494762034152
"2084/2085",2085,121,121,100,29.5057742992308,45.4672664360198,67.0310977296189,36.7763537901519,79.0100603798216,1585.04747074476,1365.5,1317.5296878503,1212.5,1542,983,1305.5,69.3819904264346
"2085/2086",2086,120,120,100,29.598921510563,38.5179692456084,61.8908687562781,33.7102548059097,75.1947779852266,1476.82495869522,1360,1182.23601115716,1219,1477.5,918,1215.5,66.0340648453166
"2086/2087",2087,120,120,100,25.8763197978776,46.318409934269,69.2756534426938,32.7587950355562,77.6991552095243,1382.7932322399,1216,1098.95125963233,1092.5,1331.5,818,1115,64.2321960947074
"2087/2088",2088,120,120,100,26.2319224523009,32.5472848658561,66.321388561077,30.1004308298403,77.8052625290365,1482.28318657394,1550,1496.12053684393,1424.5,1503,873,1435.5,72.1654965783036
"2088/2089",2089,121,121,100,19.7059417432357,14.303173946323,62.9089891170104,25.0051253051044,72.9240999906965,1281.14400067317,1206,1086.50841719416,1007,1311.5,647,1048.5,64.001761991387
"2089/2090",2090,120,120,100,24.1561142904396,19.1867492382608,61.9456119164586,27.1418493734288,71.4719368544456,1311.26163072558,1161.5,1051.17552138044,959.5,1389,688,1071.5,62.3306874803257
"2090/2091",2091,120,120,100,24.4115783038016,29.0573537938681,66.7997122935566,31.6321176328796,77.355676453788,1383.08961924352,1266.5,1171.44330088567,1149.5,1329,804,1144.5,62.9806757987208
"2091/2092",2092,120,120,100,32.0674312779167,35.1633676835682,65.9364090118599,37.0911029161469,80.046841715923,1716.51061948729,1624,1660.68655325516,1497.5,1777.5,905,1634.5,78.3418724550593
"2092/2093",2093,121,121,100,28.4563967941604,40.8427601768753,69.7088165224329,35.0704024468965,78.1910434744399,1513.61903714802,1275,1172.85522942737,1167,1468,966,1187.5,68.8408462371881
"2093/2094",2094,120,120,100,25.2773364275774,31.5916204061999,74.6711287090906,31.0317753863715,79.48732699589,1388.65126020537,1384,1281.96572469847,1295.5,1383,811,1286,69.0324130014214
"2094/2095",2095,120,120,100,27.8487330238331,26.6249533677893,66.8230503331754,33.7383052935982,78.0900398333141,1429.59696375608,1432.5,1253.41641080796,1346,1360.5,951,1251,63.1035851610231
"2095/2096",2096,120,120,100,23.061864994755,17.4668143482977,64.1080209187022,28.4338281187472,74.7745808348669,1355.29081458857,1213,1109.01969965501,1044,1319.5,737,1101,63.4860298161293
"2096/2097",2097,121,121,100,23.9760686440278,29.9043305233326,61.7883523937232,28.7185918306623,73.8489432939242,1386.9816520043,1218,1096.24323934288,1070.5,1405.5,748,1068,64.4996159485527
"2097/2098",2098,120,120,100,24.6835230182049,22.8625606271427,65.1472219219799,32.0649192067841,76.9484097814183,1441.91867744739,1301.5,1174.50504717487,1219,1398,815,1196.5,64.8113278254605
"2098/2099",2099,120,120,100,28.4229247183707,27.6578240574368,59.6508755132929,31.4030378801094,72.7687788019182,1489.68821067832,1305.5,1217.3071522773,1085,1563,812,1223.5,66.7763793878112
