"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,27.5819722426908,145.466820049661,77.1652385759254,39.5626658869856,86.8169280115388,1378.05167375703,1144,1059.92788928549,1156,1226,937,1096.5,70.6788252362291
"2002/2003",2003,120,120,100,41.3565497445693,222.750072953115,73.3593044430789,56.2848643230591,95.4866295521332,1632.9719076288,1382,1290.90239520261,1508.5,1346.5,1203,1322.5,80.1137310599408
"2003/2004",2004,120,120,100,44.6043378940713,242.197226544558,61.3821270873308,51.5801053530234,87.3120782216965,1799.59037642232,1609,1416.87542652014,1580,1666,1379,1535.5,77.5879847242655
"2004/2005",2005,121,121,100,35.5586456156057,204.251146907765,64.2134900989457,44.3107197274533,86.5640116982284,1634.2864110907,1411,1287.61781216965,1373.5,1479.5,1139,1346.5,75.7950640554772
"2005/2006",2006,120,120,100,29.2541318747947,166.665093649898,73.3033429180777,40.4598507188443,87.8680492963388,1565.93428043843,1373,1287.74665971567,1380,1398,1110,1321.5,74.0987273582001
"2006/2007",2007,120,120,100,27.5015637530546,181.800885148636,60.9677487076205,35.3657964305793,83.6800880319424,1638.94588385915,1487.5,1387.39103535479,1405.5,1583.5,1110,1446.5,76.3192662400387
"2007/2008",2008,120,120,100,38.4739367584008,220.05712549632,74.0628181549138,51.7203267519332,93.1697406113195,1577.64729981375,1384.5,1272.33780697485,1453,1370.5,1185,1338,78.4708170993347
"2008/2009",2009,121,121,100,28.1900574067852,189.405276577443,60.5514985458205,36.6198452938746,81.21772293533,1480.30627139732,1209.5,1051.27263296993,1104,1337.5,1033,1087,67.1391296531563
"2009/2010",2010,120,120,100,37.9167054759254,201.490013889974,75.2194235472145,50.7843692961309,91.5005169990149,1497.29283730799,1148,988.102002033516,1168,1248,1176,1085.5,72.2948348619849
"2010/2011",2011,120,120,100,37.6345456315562,218.91416897708,73.4563852932552,47.5758107481058,90.8067912863046,1691.99678650419,1490,1340.42766537066,1530,1490,1262,1437,77.1826479993053
