"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.5623786925849,189.482926131242,71.8278067220295,40.4788390822549,85.4510241785721,1355.82886559003,1136,1013.89918640579,1147.5,1201,981,1045,69.8984893414539
"2002/2003",2003,120,120,100,40.3082898747323,250.542203595517,67.8579879408205,54.9390146473567,94.5770120714251,1590.53752239122,1350.5,1234.85928689734,1454.5,1333,1163,1288.5,78.0323785066501
"2003/2004",2004,120,120,100,40.0581846942195,282.08686129559,56.7898355119216,48.1949703675066,86.1788689591429,1686.8411452007,1439.5,1243.12095361979,1423,1520.5,1308,1328.5,74.4952400040935
"2004/2005",2005,121,121,100,35.2366637816301,242.689660880101,59.5880060148606,42.7392859887113,84.6761694777206,1530.23871652671,1281,1110.73614993444,1218.5,1355,1096,1166,69.7836564511931
"2005/2006",2006,120,120,100,25.4327179793233,183.149103080767,68.7409297930613,35.2592147406317,85.7070305782523,1467.61754531783,1284.5,1190.37473411325,1255.5,1343,1002,1228,71.0145620288805
"2006/2007",2007,120,120,100,28.7606774479455,229.61805237311,56.2722367725617,36.5681963126229,82.6348789992441,1602.27158530277,1396.5,1236.08349238869,1309,1475.5,1136,1280,72.1575420125739
"2007/2008",2008,120,120,100,36.2872718904593,251.177818850941,68.8655018847266,47.8090883494922,90.8605247224099,1400.39054638865,1248,1082.53218219936,1302.5,1201,1053,1131.5,72.4467123038135
"2008/2009",2009,121,121,100,21.7183046239835,201.995607654717,56.6202544650732,29.4088590078978,78.1756119074364,1302.97125508328,994,830.238386812023,844,1209,874,882,63.6669790277844
"2009/2010",2010,120,120,100,35.8652296442518,220.424041482503,70.0755502328327,47.2987330846743,88.724044717433,1425.38050928419,1108,954.403235529055,1071,1230.5,1116,1042.5,70.5050671110396
"2010/2011",2011,120,120,100,31.2676109603221,214.244531280807,68.5600246529889,39.7292733591677,87.2818901379326,1501.92605818474,1314,1199.45810239805,1311,1332,1090,1231.5,75.1478324671351
"2011/2012",2012,120,120,100,34.4966359209545,214.554324178726,73.571245464447,45.5391025041941,89.2390793260865,1404.76060593484,1132,993.847324290935,1153,1205.5,1055,1054.5,66.6004203595198
"2012/2013",2013,121,121,100,30.5312969296506,215.53321616168,64.5935652887845,39.6602390462176,83.7682899042994,1437.76902703408,1176,1036.63392523774,1085.5,1305,1036,1078.5,67.9182371399033
"2013/2014",2014,120,120,100,37.4115145959039,261.634941270068,66.1486975482041,45.7314461200557,90.4422344321412,1567.54968667866,1397.5,1295.67471411848,1445.5,1380,1146,1334,77.9314598021649
"2014/2015",2015,120,120,100,39.9393310561056,268.042684141517,62.6161167750724,49.0615016461173,86.8789694765657,1428.49545038963,1173,1002.21262214687,1203,1237,1045,1068.5,70.8176532648574
"2015/2016",2016,120,120,100,43.6213162936355,266.480911927107,66.6841057778439,55.7885116471687,93.1059748196244,1639.38968477721,1429.5,1328.30367058742,1482,1428,1209,1372.5,77.2916793777756
"2016/2017",2017,121,121,100,36.1692588669685,238.607481852453,58.4038018585998,46.6916845535096,86.7144665591503,1499.98467310438,1227,1126.63134010008,1214.5,1318.5,1043,1137,71.1563845221051
"2017/2018",2018,120,120,100,35.7604132303138,240.629749960826,67.9452825022541,48.1251688128438,90.2563384226484,1517.24944585122,1290.5,1134.02053288179,1322.5,1309,1142,1198.5,72.4888188271759
"2018/2019",2019,120,120,100,37.2806233505073,243.80378188304,71.8495719971486,52.5634982377299,93.4005296180939,1398.06487937799,1112,985.817748773094,1223.5,1127.5,1075,1040.5,72.1182266054111
"2019/2020",2020,120,120,100,36.4760265292032,221.821010761955,62.3845557918125,45.2221554770474,86.9454934069873,1563.69180552028,1370.5,1224.23777877191,1337.5,1411.5,1150,1266.5,73.9133227312516
"2020/2021",2021,121,121,100,27.6738116015562,193.270115701136,65.3491416131647,37.6881504303383,85.6403148072201,1433.4775567607,1208.5,1109.39165717405,1172,1302.5,950,1138,70.8477205255026
"2021/2022",2022,120,120,100,33.7828497764914,207.301848823266,66.6870633750561,45.2835534367272,85.0999494868479,1289.95146015233,954,801.92172325444,904.5,1106.5,953,853.5,63.0942586292608
"2022/2023",2023,120,120,100,35.6230051694155,216.060848522143,76.1734429086383,43.6203869202664,86.3009547759778,1388.59754392495,1214,1062.5134898661,1202.5,1241.5,1032,1124,68.4544084092736
"2023/2024",2024,120,120,100,34.9856370983446,216.56763908512,60.2545506923946,44.4809344806359,85.9432590712994,1547.63531989394,1353.5,1227.1166036268,1328,1422.5,1048,1269,73.9408466955692
"2024/2025",2025,121,121,100,40.5828822746865,258.250110632223,71.3855339274213,52.7494575232664,94.1231112995863,1702.37338688941,1514.5,1339.032209492,1603.5,1463,1361,1421.5,80.2569605454455
"2025/2026",2026,120,120,100,41.4183635289203,249.224955049785,69.4648439069235,54.3616685879838,90.9441740895549,1537.71449235139,1302,1126.6921357825,1359,1305,1197,1194.5,72.4651864969455
"2026/2027",2027,120,120,100,31.5093232070176,266.256096190193,55.0981033391973,37.4812059637817,82.2590183340713,1546.37599239883,1326.5,1193.7521507772,1255.5,1452.5,1091,1242.5,68.9551067259436
"2027/2028",2028,120,120,100,35.6261354108979,220.614681213352,79.3070578984536,49.8354087979495,95.456860425739,1452.5481336635,1211,1078.73999815105,1336,1165.5,1143,1134,77.1784413423129
"2028/2029",2029,121,121,100,37.4439740748827,255.185117881939,55.9439770636264,47.2443788286874,84.1361172780354,1515.08664481186,1193,1008.048993936,1157.5,1315,1138,1048.5,68.7009682007028
"2029/2030",2030,120,120,100,33.0430232656353,245.77909989903,67.4282717181146,46.6777309134343,91.0677813401788,1507.4887255872,1272,1131.65843583908,1303,1296.5,1141,1178.5,74.6561443207793
"2030/2031",2031,120,120,100,33.0512049673338,225.345925000298,59.1769525725401,39.3967879372575,81.3240862116784,1477.40616183763,1276.5,1142.77217294573,1224.5,1347,1026,1157,69.602359891499
"2031/2032",2032,120,120,100,26.5312701802488,218.282883566243,55.3908822023596,33.7328853125893,81.8931506400761,1474.22856339636,1309.5,1196.4747913522,1243,1385.5,943,1219.5,71.4990648709377
"2032/2033",2033,121,121,100,28.6029481958749,211.921074571894,73.8631629763378,39.3688731799675,88.9401993887099,1342.51054163303,1138.5,968.6579403211,1150,1139.5,993,1029,71.6587514526427
