"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.123890487358,172.074849564578,74.4452923174948,41.9238931521993,86.6789523660012,1396.06311274734,1128.5,1023.15979955996,1144,1216.5,1018,1055,68.8767791746763
"2002/2003",2003,120,120,100,39.9433945588244,235.012525729756,70.8580970337152,53.9306782402321,94.6781866632529,1619.22226433874,1355,1266.77099204226,1466.5,1344,1175,1308,78.719749687586
"2003/2004",2004,120,120,100,41.0092325566039,250.590273692648,59.4667845369723,49.5011323307831,86.5372194431121,1718.69552175779,1457,1264.521830613,1445,1552.5,1288,1369.5,75.4367935552297
"2004/2005",2005,121,121,100,34.0860053036987,218.021838517593,62.2441867086255,42.6780210404351,85.2648169343618,1557.09497576271,1299,1160.18820236288,1248,1384.5,1108,1213.5,71.283747656503
"2005/2006",2006,120,120,100,26.6111969984431,170.990553827228,70.857928614674,38.0912670592387,87.212660688206,1524.7737115057,1313,1228.60467001838,1291.5,1376.5,1040,1275,73.4331875431948
"2006/2007",2007,120,120,100,27.6052232094106,202.59325763101,58.8803121688394,34.9270635736089,82.6738997662032,1615.19956370389,1444.5,1309.57698356554,1350,1543,1125,1374.5,75.1908244466513
"2007/2008",2008,120,120,100,38.5414918570318,235.085699592123,71.4255494530967,52.1399283883287,92.7143801011458,1507.21410527208,1309,1145.39631597324,1382.5,1282,1171,1214,73.578655047166
"2008/2009",2009,121,121,100,25.7174824648384,193.527986376145,58.9705449223006,34.2403401876352,79.5129182034834,1379.64282171854,1048.5,896.635087893521,926,1245,936,936.5,64.8994251658117
"2009/2010",2010,120,120,100,37.6903369182612,210.024516710034,73.1454703381997,50.5716685609198,90.0257422297225,1457.35891801202,1122.5,929.260544021352,1097.5,1218,1172,1025,70.86659113212
"2010/2011",2011,120,120,100,33.4123123674884,215.854319973884,71.7071452814108,42.5864000581247,87.9967643179906,1590.83247965115,1372,1251.80656245914,1411,1424.5,1154,1329.5,74.7860664073097
"2011/2012",2012,120,120,100,33.813396026427,195.907379808705,75.914418231555,47.763206900204,90.9546703126084,1435.73498121056,1150.5,1001.06434863309,1189.5,1191.5,1087,1055,69.6291453564786
"2012/2013",2013,121,121,100,32.8233804185117,205.541986337111,67.42740495893,42.2099440945791,84.6276168967312,1491.726591152,1198.5,1063.9679207302,1143.5,1327,1109,1101.5,68.5839186216263
"2013/2014",2014,120,120,100,38.3768792339448,244.415738336093,68.984184095184,47.8214322742149,91.2431802613958,1595.98729908594,1429,1324.50009608117,1475.5,1421,1139,1384.5,78.21285874351
"2014/2015",2015,120,120,100,40.3163010679732,247.458219806657,66.0331290878672,48.6221304849488,87.2645068880822,1488.93442931686,1229,1074.27609654963,1230,1304,1089,1145.5,73.103739980761
"2015/2016",2016,120,120,100,42.9053920175419,237.063112827081,69.66018025446,55.3130927456645,93.2628118455337,1656.4479451517,1439.5,1324.84952297865,1480,1441,1214,1383,76.8754667149997
"2016/2017",2017,121,121,100,36.3736861713692,222.257964033907,61.1428526551684,47.2310511070432,86.850617562245,1593.33573589207,1346,1200.06118292602,1316,1409.5,1132,1239,74.0136093406388
"2017/2018",2018,120,120,100,36.6940465423281,222.034440022135,70.807250309057,49.3896662743053,91.1358940033572,1537.61942356499,1274.5,1118.39898604051,1332.5,1290,1173,1181.5,72.1749998047799
"2018/2019",2019,120,120,100,35.8468842390184,226.704927141921,75.3108360376392,51.1192495756971,93.5880507999809,1419.7709949588,1131,996.892235868072,1232,1139.5,1081,1063,72.3752266966605
"2019/2020",2020,120,120,100,40.2412103720141,213.211825630556,64.7666054255273,50.1645571133675,88.5596142956453,1647.4321338627,1428,1268.04877787325,1417,1463.5,1227,1327,75.9557412596055
"2020/2021",2021,121,121,100,27.1191581644412,176.65385339632,67.8696458449025,36.2715091721656,86.0467622863312,1457.96083591876,1247,1160.15914359473,1216.5,1328,955,1181.5,69.59463313423
"2021/2022",2022,120,120,100,32.4714554384585,189.461429296696,69.9451969122262,45.5635558651973,86.535005354486,1352.71017658619,1021,840.590366470991,978,1141,1036,906,64.1375332495836
"2022/2023",2023,120,120,100,36.5920531526679,196.908540266994,78.586175829882,45.5730575077812,87.8967670978906,1414.94086955229,1214.5,1089.20262378346,1229.5,1250.5,1041,1150,69.5539930478149
"2023/2024",2024,120,120,100,35.2476810246503,208.871085110159,62.5143109835541,45.9327912777959,87.2364852763444,1634.01052394381,1428.5,1309.89284176441,1420,1475,1150,1338.5,77.0425197248605
"2024/2025",2025,121,121,100,43.8815142554545,244.085039336175,73.8851642815871,55.7144975336908,95.3659168122909,1755.38861084096,1533.5,1383.28284330627,1636.5,1501.5,1401,1469,81.599564222779
"2025/2026",2026,120,120,100,39.969265066707,221.410067845193,72.505954988377,52.9556032833528,90.7724400034799,1555.83688100587,1301.5,1141.80048162683,1356,1307,1230,1192.5,71.602478495457
"2026/2027",2027,120,120,100,34.2316470415012,257.637818906996,56.9586430240669,40.7981454757197,83.8857961396677,1630.78412059492,1427.5,1307.95531070579,1378.5,1513.5,1137,1352.5,73.8346997551444
"2027/2028",2028,120,120,100,33.0356115024805,203.41012561262,82.7160941682696,48.8561063714551,96.0658066339984,1424.17606324214,1151.5,1026.75938808587,1318.5,1105,1110,1076,74.63861498191
"2028/2029",2029,121,121,100,39.429628083411,228.630222265348,58.555816304304,48.6715974137256,84.7861576305752,1612.73144464004,1275,1115.02048361635,1249,1419.5,1200,1171.5,70.7739248589669
"2029/2030",2030,120,120,100,34.1319918941585,227.904668198158,70.36799710166,47.4171761585286,91.6841752376104,1563.34844927947,1329.5,1188.7810662779,1375,1364.5,1196,1260,75.1238587819353
