"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","Distance","Overlap_years","Perc_interval_covered"
"72529014768","GREATER ROCHESTER INTERNATIONAL AP","US",43.117,-77.675,19730101,20241103,7.11,31,100
"99999914768","ROCHESTER MONROE CO ARPT","US",43.117,-77.677,19480101,19721231,7.25,0,0
"72529599999","ROCHESTER COAST GUARD LIGHT STAT","US",43.25,-77.6,19760926,19960701,11.13,6.5,21
"99800999999","ROCHESTER","US",43.25,-77.583,20080101,20241102,11.22,13,42
"99826799999","ROCHESTER","US",43.269,-77.626,20100101,20210114,13.41,11,35
"99719099999","LAKE ONTARIO BUOY - 20NM NORTH NORTHEAST","US",43.62,-77.41,20080517,20081125,54.53,0.53,2
"72498899999","DANSVILLE MUNI","US",42.571,-77.713,20010811,20031231,65.11,2.39,8
"72523094704","DANSVILLE/MUNICIPAL","US",42.571,-77.713,19730101,19850131,65.11,0,0
"99999994704","DANSVILLE MUNI AP","US",42.571,-77.713,19490101,20001101,65.11,10.84,35
"72498894704","DANSVILLE MUNICIPAL ARPT","US",42.57,-77.714,20010102,20241030,65.23,20,65
"72523099999","DANSVILLE MUNICIPAL","US",42.567,-77.717,20020418,20041014,65.6,2.49,8
"72519454778","PENN YAN AIRPORT","US",42.644,-77.053,20060101,20241103,71.85,15,48
"9999994727","GENEVA SAMPSON AFB","US",42.75,-76.9,19520102,19560624,72.36,0,0
"72519499999","PENN YAN","US",42.633,-77.05,19990114,20051231,72.97,6.97,22
"71430099999","POINT PETRE (AUT)  ONT","CA",43.833,-77.15,19770611,20241102,84.27,31,100
"71626899999","PT PETRE","CA",43.833,-77.15,19770701,19800625,84.27,0,0
"72626899999","POINT PETRE (MARS)","CA",43.833,-77.15,19750905,19770630,84.27,0,0
"99596099999","PRINCE EDWARD PT","CA",43.79,-76.87,19911018,20081123,92.49,17.1,55
"99798999999","OLCOTT HARBOR","US",43.333,-78.717,20080101,20241102,92.85,13,42
"72519599999","OSWEGO COAST GUARD STATION","US",43.47,-76.52,19760926,19960701,94.46,6.5,21
"99726499999","9052030 - OSWEGO  NY","US",43.46,-76.51,20041122,20241102,94.81,16.11,52
"99999914733","BUFFALO BUFFALO ARPT","US",42.941,-78.736,19720101,19721231,95.3,0,0
"72528014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR","US",42.94,-78.736,19420201,20241103,95.33,31,100
"71431099999","COBOURG (AUT)  ONT","CA",43.95,-78.167,19770611,20241102,100.12,31,100
"71626699999","COBOURG","CA",43.95,-78.167,19770701,19800809,100.12,0,0
